HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,153,160,0.95625,1,136.755,0.854717
2,11285,12720,0.887186,1,9319.95,0.7327
3,546237,669920,0.815376,1,421364,0.628977
4,750068,1e+06,0.750068,0,540107,0.540107
5,691961,1e+06,0.691961,0,464267,0.464267
6,642516,1e+06,0.642516,0,398729,0.398729
7,601353,1e+06,0.601353,0,342599,0.342599
8,565163,1e+06,0.565163,0,294554,0.294554
9,535465,1e+06,0.535465,0,252613,0.252613
10,511246,1e+06,0.511246,0,218468,0.218468
11,487917,1e+06,0.487917,0,186776,0.186776
12,471100,1e+06,0.4711,0,161132,0.161132
13,454737,1e+06,0.454737,0,139382,0.139382
14,440729,1e+06,0.440729,0,120050,0.12005
15,429158,1e+06,0.429158,0,103242,0.103242
16,418398,1e+06,0.418398,0,89380.3,0.0893803
17,410626,1e+06,0.410626,0,77928.6,0.0779286
18,401782,1e+06,0.401782,0,67474.1,0.0674741
19,395331,1e+06,0.395331,0,58505.5,0.0585055
20,388876,1e+06,0.388876,0,51159.3,0.0511593
21,383859,1e+06,0.383859,0,44049.6,0.0440496
22,378425,1e+06,0.378425,0,38419.6,0.0384196
23,374331,1e+06,0.374331,0,33342.8,0.0333428
24,371053,1e+06,0.371053,0,29454.2,0.0294542
25,366568,1e+06,0.366568,0,25930.3,0.0259303
26,364942,1e+06,0.364942,0,22661.7,0.0226617
27,361064,1e+06,0.361064,0,19799.9,0.0197999
28,359698,1e+06,0.359698,0,17552.3,0.0175523
29,356998,1e+06,0.356998,0,15473.8,0.0154738
30,355223,1e+06,0.355223,0,13680.7,0.0136807
31,354362,1e+06,0.354362,0,12266.1,0.0122661
32,352276,1e+06,0.352276,0,10764.7,0.0107647
33,350975,1e+06,0.350975,0,9527,0.009527
34,348885,1e+06,0.348885,0,8606.88,0.00860688
35,348305,1e+06,0.348305,0,7758.21,0.00775821
36,347476,1e+06,0.347476,0,6880.75,0.00688075
37,346773,1e+06,0.346773,0,6250.83,0.00625083
38,345570,1e+06,0.34557,0,5606.19,0.00560619
39,345427,1e+06,0.345427,0,5072.5,0.0050725
40,344656,1e+06,0.344656,0,4558.08,0.00455808
41,345200,1e+06,0.3452,0,4212.66,0.00421266
42,344589,1e+06,0.344589,0,3830.43,0.00383043
43,344024,1e+06,0.344024,0,3514.14,0.00351414
44,344153,1e+06,0.344153,0,3154.81,0.00315481
45,344698,1e+06,0.344698,0,2879.84,0.00287984
46,345039,1e+06,0.345039,0,2664.41,0.00266441
47,344598,1e+06,0.344598,0,2451.41,0.00245141
48,344600,1e+06,0.3446,0,2239.44,0.00223944
49,345636,1e+06,0.345636,0,2059.05,0.00205905
50,346577,1e+06,0.346577,0,1924.34,0.00192434
51,346163,1e+06,0.346163,0,1795.42,0.00179542
52,347688,1e+06,0.347688,0,1609.76,0.00160976
53,348649,1e+06,0.348649,0,1600.27,0.00160027
