GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
d9e4f169-2439f0d5-f5e7fbf7-11c3b3db-49e81c5b,0.000381039,9618,13695,26687
b39411e5-285c059-f36a6685-ebd901f3-3f52fc17,0.00426667,3788,4566,41646
f518eac7-94b0399f-b073bc6d-bc6ab6f2-b6f0ec,0.000541923,17435,12231,20334
e38c53a8-5d26ffff-cb2eb96e-3931ea1e-8a77abbf,0.000305868,23342,10563,16095
b4b6b5c2-6a5e3945-47080b08-7cbcea84-56088f1b,0.000771605,6618,7925,35457
3c24b286-1b6f5331-86ff14da-516e4768-f9d67b89,0.000530842,16960,12571,20469
5ce36752-a3a61cd6-44de3608-eca11d97-c9fee97e,0.000367041,8710,9751,31539
fd604bbb-71755bf0-e40d83b8-9084735d-cb893de0,0.000411987,21135,15405,13460
afaba99b-fc32c293-46c665b4-8801dfc7-194ffe25,0.00030899,22694,16410,10896
458a022a-607d338c-a101f2e3-c4b350cc-4bfff53e,0.000301408,20787,14405,14808
a8d973a7-c3e6d1ee-a5a7665b-318093a9-552a9ec2,0.000549316,13299,11934,24767
2283a629-ac20d0a-b465567a-96764fd3-ef1125fb,0.000732422,5323,14646,30031
754de38f-64aa67cf-b83091da-f94bda33-46d56034,0.000157286,20508,18080,11412
5251eff7-9ba8c0f-bc95645d-8fbb4941-d1a4e9af,0.000743378,10247,6331,33422
44d96d92-9b3b4076-da048e4b-f2884aa4-151bd4ae,0.000578183,6270,4271,39459
ccb98a56-1fb2455e-62e251a-18371850-46293b4d,0.000734082,4056,7593,38351
8533048f-d9af9dc-8c08c548-99d6ed1f-965a1dc,0.00030899,21118,19522,9360
8f62da08-e7132f8b-f19ddcb6-40638762-7d7e713a,0.000211689,12776,13325,23899
d5487ba2-96c806ad-cf82a92c-b8209bd-3f8a52b9,0.000549316,8850,14879,26271
fa4296ea-e6ff58fc-2c8a72e9-dad81e25-c3aceb16,0.000367041,12835,7818,29347
d226b1a3-f123809d-533319fe-69f3c717-2517bf43,0.000530842,15160,11725,23115
99b8e6aa-2fd26c1d-b81dd4d6-8cf9e7d3-ca49e76e,0.00081258,7994,2620,39386
9e67c212-2b2ece0f-48025008-42d473a5-8982a713,0.00160647,7182,7263,35555
54b3b2ba-1ce55fa1-6531e8d1-6517ba18-d8da55b6,0.000353894,20454,15144,14402
2c8113b3-ccf708f-1db85040-a3e419e0-ee710e74,0.000514984,9416,7905,32679
f7ea6781-4078380e-1a1b49f1-90be77d9-198fa81d,0.00030899,18051,10819,21130
a0c8244-adf8a1a2-853f1ad7-21628985-e61803d3,0.000231743,15027,17778,17195
31c5acde-3c456fa7-efbb5ff5-a2a60ff7-56a5da4c,0.000211689,8382,10897,30721
52a8b7da-a084ccf1-e30e5ca3-dc0cb23a-d4af13f8,0.0025,2769,1509,45722
33c000a7-baaca8f2-aa7d1e9c-b58d8fd8-9ccd093e,0.000549316,11417,14966,23617
a26d409b-6b6e56de-1205251f-f4f93aab-d8d37f1,0.000771605,7575,13179,29246
eb7c346-5c438487-ed44c43a-a186cc20-7c5d8e81,0.000381039,17196,9600,23204
ceae46dc-3e26436f-44ba1f39-9d0946f9-a345f224,0.000541923,15848,17674,16478
f5061ac7-71dc0ab8-46894e91-fcad850b-c93fa433,0.000743378,3445,5636,40919
cd28a73f-ececf8a7-2d11cc17-303ff931-6af3ec84,0.00023593,20470,12244,17286
f5cb59c4-ad2909db-4f9bee25-edd20642-563c095,0.000541923,5237,13051,31712
95f8835c-bb1b73c5-6dc345d7-a1271729-31f7a66f,0.000530842,5526,13959,30515
6f6cafda-17df3fc-51491b5d-2f3d0a3-bc9c07,0.000541923,10659,23985,15356
5907dcc2-6a68a89a-7cc406a4-d3e11237-2f00c0b3,0.000541923,10625,13520,25855
e5cebb9e-3357515d-a33993ff-7d52f36a-f00791c0,0.000804663,4634,8333,37033
f50aeea1-e44debee-b577c266-a32f6538-a7d8a0e0,0.000732422,3242,22360,24398
6b8da7a6-2889085a-561baa01-834b6b-667081b3,0.000880898,1913,11192,36895
99414332-94786a06-46d8c187-657bb960-e1dc9e48,0.00030899,10202,15057,24741
ec944b56-b638b3a1-8424384f-d011762a-773d495c,0.000381039,15941,12346,21713
33d4328f-8a12778a-7f6170de-d479c33f-26ef62ae,0.000440449,16623,10384,22993
a469ee29-7b4f95d9-25878d62-218cd9b5-c38650c6,0.000541923,8968,22049,18983
f11eff67-5714e8ea-a99aa946-55e7a705-89746381,0.000353894,18245,14316,17439
91e3eb-bafd1ee4-d5169754-8855c976-3028c08b,0.000559624,17019,3751,29230
3152b96d-af95dbf0-f31e5fc-31baa62-3c1bbc96,0.000541923,5285,23921,20794
1a90f6fe-bfec36b7-7a0180ae-f05faf61-934d3900,0.00192,11799,5247,32954
87e03b9b-4dfc861d-283db5ba-81b4c9f7-5aca197c,0.000541923,16202,19794,14004
2c032a3a-fa3a9fbd-be1fe818-8e17f625-389d4d0b,0.000353894,13481,9058,27461
35684ca6-2a4b645c-a2c94a90-f881b400-1e4f31d,0.000549316,12521,9390,28089
daff9bdd-df506fb3-8a2eee44-377b27f3-aaecb455,0.000411987,9815,17791,22394
304268f2-c9116401-fe31c36a-669f1d44-1979b7e0,0.00164795,6595,5168,38237
386bf872-b364dbe8-df44f764-d6224e71-40953ff9,0.000609663,15609,13902,20489
b45add3-9e271f73-afd67758-15be4f1a-709bfca8,0.000825976,7942,7054,35004
5aee90bf-c4ca6b5b-202065c6-14525499-8500c464,0.00077555,5593,2711,41696
f6a793aa-7f221164-702f6cdd-3f8b4763-8ce76d87,0.000381039,16912,11648,21440
a43358dc-99eca608-ed40ee51-5cae4573-14f25269,0.000338702,17891,14571,17538
a6ad597e-acc0e42d-881fb5fd-29471a4d-a2c50db1,0.00182899,17839,3621,28540
50292b5c-5d9dee9e-c5e635f9-2cc5b066-456e402f,0.000685871,11088,8531,30381
6c856365-41004f0e-920faa01-47eca5c9-a145bf4c,0.000267918,9402,14858,25740
e8aea1aa-d42c4626-29f5984e-fd104fc8-82c51ac5,0.000541923,7971,23233,18796
46d47157-b63e6d46-a42bd653-9b5cb216-e360a160,0.000825976,3983,6406,39611
5099c585-b111897f-13949e60-77d4d62f-1de0cf41,0.00576,2398,4148,43454
2ac00266-b3537820-f3dca5eb-116c3f9e-eea8a30e,0.000611735,7032,10607,32361
2a31ef69-168ec166-5480d1d7-480ad6fa-5d442350,0.000750171,10590,3187,36223
78eea3d4-2bc1f295-1efb8be0-fb58da64-da744bfa,0.000549316,7625,17143,25232
d1cda8b5-e668213b-2982430b-bd48e319-9b301bac,0.000411987,15524,15882,18594
db306181-7897ccd1-89dbd306-bd49437-419caf19,0.000652894,13860,4173,31967
eee6ac63-90b6581e-24cbcf9f-e1cfd49f-db1a8b79,0.000440449,20056,11690,18254
66cbfba7-f6683d77-f950b712-6225e99a-52d21589,0.000541923,7970,23442,18588
d7578f1a-31f04544-1195e17-48181729-99afd707,0.000599597,15265,4308,30427
4891a026-58ff4ea4-48592723-23def1b9-6546052f,0.000609663,7621,10759,31620
7cf20522-35a55cb3-12240c4c-da9464a3-6e0f300f,0.0006075,13090,2924,33986
6bd64877-d858db9-9da07733-f624a5c0-899874f2,0.000609638,4994,5581,39425
a4ee39d3-f2fc28d7-f8dc1ee6-701b8b46-1d463d48,0.000428669,15075,12782,22143
ac4c3c4d-898034dc-5cda272e-eef8ddd0-ace6fba8,0.000796262,2820,18269,28911
de9bd679-386df30f-e578a047-e763b3e7-3f0b8067,0.000603497,4318,7758,37924
