0,1618610
0.1,15657
0.114286,2
0.116667,48
0.12,329
0.122222,1
0.125,1823
0.128571,34
0.133333,10687
0.1375,17
0.14,1321
0.142857,166
0.144444,11
0.15,42677
0.155556,48
0.157143,458
0.158333,1
0.16,3508
0.1625,263
0.163636,7
0.166667,27893
0.17,57
0.171429,1121
0.172727,26
0.175,14778
0.176923,2
0.177778,278
0.18,7710
0.181818,61
0.183333,4178
0.184615,7
0.185714,2347
0.186667,1
0.1875,1077
0.188889,563
0.19,265
0.190909,106
0.191667,50
0.192308,19
0.192857,8
0.193333,1
0.2,202388
0.206667,11
0.207143,28
0.207692,56
0.208333,156
0.209091,344
0.21,746
0.211111,1575
0.211765,2
0.2125,3247
0.213333,12
0.214286,6330
0.215385,108
0.216667,11591
0.218182,517
0.21875,12
0.22,21857
0.221053,1
0.221429,50
0.222222,2339
0.223077,158
0.223529,1
0.225,42590
0.226316,1
0.226667,30
0.227273,650
0.227778,2
0.228571,8393
0.229412,4
0.23,1524
0.230769,219
0.23125,13
0.233333,85495
0.235294,12
0.235714,101
0.236364,912
0.2375,5412
0.2375,1
0.238462,232
0.238889,3
0.24,26993
0.24,35
0.241176,11
0.241667,513
0.242105,1
0.242857,9806
0.24375,28
0.244444,3362
0.245,3
0.245455,972
0.246154,273
0.246667,54
0.247059,5
0.247368,1
0.247619,1
0.25,171151
0.252632,1
0.252941,8
0.253333,10
0.253333,40
0.253846,262
0.254545,1056
0.255556,3367
0.25625,27
0.257143,10023
0.257895,3
0.258333,30
0.258333,527
0.258824,4
0.259091,1
0.259524,1
0.26,27884
0.261111,2
0.261538,217
0.2625,5620
0.263636,925
0.263636,1
0.264286,118
0.264706,2
0.265,6
0.266667,91266
0.267857,1
0.26875,18
0.269231,200
0.269565,1
0.27,1609
0.270588,4
0.271429,8778
0.271429,29
0.272222,3
0.272727,793
0.273333,58
0.273684,2
0.275,44982
0.27619,5
0.276923,154
0.277143,1
0.277778,2523
0.278571,89
0.278947,1
0.28,23300
0.28125,10
0.281818,591
0.281818,1
0.282143,4
0.282353,5
0.283333,13295
0.284615,109
0.285,11
0.285714,7023
0.286667,16
0.286667,17
0.2875,3688
0.288235,1
0.288889,1778
0.289286,1
0.29,866
0.29,101
0.290476,7
0.290909,425
0.291667,89
0.291667,173
0.292308,83
0.292857,16
0.292857,32
0.293333,61
0.29375,8
0.294444,1
0.295,12
0.295238,5
0.295833,3
0.296429,2
0.29697,1
0.297778,1
0.3,220485
0.3,4557
0.3025,1
0.302778,1
0.303333,4
0.303571,2
0.304167,3
0.304762,12
0.305,21
0.305556,8
0.305714,1
0.305882,1
0.30625,1
0.306667,55
0.307143,35
0.3075,1
0.307692,26
0.308333,310
0.309091,162
0.309524,7
0.31,561
0.310714,5
0.311111,771
0.311429,3
0.3125,1513
0.313333,128
0.313636,1
0.314286,2787
0.315,32
0.315385,17
0.315556,5
0.316667,6941
0.317143,1
0.317778,1
0.317857,2
0.318182,69
0.319048,31
0.32,9620
0.320833,16
0.321429,66
0.321429,3
0.322222,52
0.322222,399
0.322727,1
0.322857,5
0.323077,5
0.323333,5
0.32381,24
