GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
d4895d16-4bcb13ca-4758f0b5-22156774-70814ddf,0.000488281,12302,18386,19312
62f189a8-bb7c96c3-649b9281-712ddc7-2fb38eac,0.000428669,13184,11220,25596
f4b3eef2-2470637d-aef16b5d-eada097b-cde7f507,0.000231743,11605,22985,15410
beb7d363-9d87f7a5-2bd632c7-c121da30-b2eb0686,0.000281632,13701,11550,24749
22a166bc-502b8e1-9be24735-2ea756d5-80b69c5d,0.000917751,1734,10368,37898
a127b545-79f170fd-6f9cb974-2c951e4b-27081e4b,0.00210748,7826,4564,37610
bd66f364-1574cda0-972e41df-3bb8c814-e6449dc7,0.000411987,12276,20472,17252
ac480056-63983d50-46f0f71-2c2a3ae3-196124a6,0.000611735,7854,14837,27309
fcf03ceb-c43b6052-c87d4a0f-203b1bf2-3c8fb88c,0.000609663,13249,9877,26874
1b55539f-9dc7d4b8-5c2caf00-5727f4bb-ef357593,0.00030899,9679,23162,17159
58e2c2e1-93554cbe-cf01ad51-96fca71f-e9abf14f,0.000675,6109,5742,38149
ad857102-439eb317-cc5535f8-ccce0d84-94217ae5,0.00260417,8438,15099,26463
3f17cf22-4d45c6e4-63acf3ac-7ca16adc-ef0353bd,0.000603497,9532,9448,31020
9495685d-b4d0a1f9-fb53c0e1-64036f15-49898844,0.000305868,15528,14874,19598
ace8b6d9-39df8cfe-fe61edfe-a2142cf1-a50fd5a6,0.000771605,9541,15382,25077
eb409457-d952d3a1-d74d3b1a-566a9cd-bbb8ba2,0.00064373,13764,11731,24505
4eab4ad0-d1c36950-25eeefbc-84d21623-feccae9f,0.000428669,17117,12844,20039
4abe1f4f-f7bf0dd3-3f63cbf5-619dfc87-195ec29f,0.000549316,6078,11956,31966
55e19bcb-2979519d-273412fa-8abbd030-4bb5a3ab,0.00556183,4121,10322,35557
a41cf38d-ea5d9231-fad70d1c-91c5dad6-622c7190,0.000530842,15618,14951,19431
6ea6166d-f298aaba-10acde7b-f111258a-95d71b5a,0.000686646,14755,10118,25127
dc8ad34c-3548f07d-84993f9a-884fa0b-4fcf2b96,0.000652894,13557,5056,31387
937d54c9-9cba920-2dcc95d8-47e67892-dbc0c90f,0.000734082,5657,13406,30937
45096e5a-9c5aab95-d9aa8180-f1028c13-e5f83eb1,0.000367041,14101,13100,22799
88bf82e6-281a755-f628779a-312d5ad0-5ebd9816,0.000267918,15358,13907,20735
6c8376f4-c2a7f305-4551cc99-be5a9dea-ae8b7557,0.00023593,18839,20626,10535
390e8a4c-17092fbe-6c1619e1-ec5d33c8-f7ee00b2,0.000603497,9903,10186,29911
ad341d0-3a61c6e9-d9d8de94-c6fb54f3-9a2e269e,0.000530842,10215,17678,22107
e4496a19-47296d3a-f813b0aa-c1906797-9bfefe5,0.000353894,19667,22004,8329
6f7ba4db-63267b07-cf17e82-fa561103-c13f676,0.00602428,6154,6717,37129
66aab334-9d22eb91-20ef843-77ad4570-5b1ba015,0.000578813,13233,7838,28929
4a8e9810-a0846a67-1a483042-66434c07-7641f02a,0.000426667,7396,10160,32444
5c96e3a7-a676c3d5-1c1cb512-bb639c50-7f4fc8dd,0.000771605,6381,13620,29999
3c4b393f-f95334a5-ca4c5685-3b1083b6-d4f1a750,0.000796262,6151,19505,24344
f00b4aa5-5053aeb6-57208df4-ed6a43c3-dffa7c32,0.00617284,1975,13839,34186
510ba61a-b005676-37f5c3de-3de896d1-87fc5c1a,0.00023815,13919,16415,19666
90a4281a-f36ce9be-94540aec-96597c09-3c3b7d57,0.000231743,19480,19290,11230
6a08ff43-3d04da55-56505b78-d011d408-44a28723,0.000611735,12819,14109,23072
3b62f25f-b50723e7-b7326585-994280e4-68636fd7,0.000541923,6977,28515,14508
e4cffb88-a5fb3db8-f86d64de-d3ff78e3-ac2e8650,0.1536,2409,11328,36263
7cc0f40a-51830e2a-c03cef6f-7d86dab9-281c6de6,0.0009,6606,7040,36354
761dae02-3088c658-bdf6d47e-b2305e3-d7620db4,0.000411987,8751,11855,29394
8b43a40d-e95d716e-bf2b62f6-62caf570-2228926b,0.000520365,13427,9339,27234
76b4750e-ecaa1b30-9b1a04a-bdb97786-fd0a68f1,0.000509779,13779,11855,24366
a6683aee-362f2e11-c7a82c09-d164f9cd-cfd673b1,0.000353894,17960,15718,16322
dfc98dcc-a2820323-be8f26d8-54cfda22-404705dc,0.000713988,6817,4416,38767
f11b8dd6-d6b2a7e6-c3408e29-bc32cbf-b2d7caac,0.000530842,10915,18016,21069
2a140a15-606abade-d4e0ad5d-4e442193-17997348,0.00064373,11647,11524,26829
ba839812-55d0468e-960a8581-94d202e6-43274abc,0.000743378,10369,9027,30604
8e101f8a-64a9bc19-d4a00694-4ac731db-10047352,0.000530842,16274,21358,12368
2c3a6c4d-1e97aeb-9630be8f-d6ad742d-b912a867,0.000482253,21510,5190,23300
fb6483c7-9e3da3f8-3d3cdab7-ea12ccaa-1873cf5d,0.00023815,20591,16508,12901
8de5a84d-24115485-2708f244-25c67a3d-edec0cf6,0.000530842,12645,17960,19395
34365ce6-7cef37d7-4277b68d-4811ea48-8df7aa6d,0.000743378,2720,7845,39435
2f21592d-1f75c32a-c71a74b7-a445411e-1cef8c93,0.01728,2063,4964,42973
525be846-1a65d59c-a4a067c7-309f1ab8-2e624ad5,0.000749375,10001,2838,37161
f1f2ee11-49d9e8e8-ae99a346-b856509a-d4f46bb9,0.000734082,5754,14946,29300
4ab3adb-b228d147-a7fb7239-dba5f7bf-6187c292,0.000685871,10769,12159,27072
8ec5cbe0-cd182661-82b0092f-38ecdbc4-a137748e,0.000701937,11123,3872,35005
c1b4453b-c918a71c-812feb9-b8325377-c20fa577,0.00308642,2345,16462,31193
2c17cce0-834926c2-b2ade0f7-602fb00e-de2fded9,0.000411987,13307,22118,14575
7378ab8c-26176f2d-d9e1244-949730a9-67d33200,0.00284444,6160,11966,31874
57900665-d8e1a0ba-8d3903b7-c6772f80-796272c3,0.000541923,5359,22711,21930
cfd4dfa6-a2528755-c6b726a0-4efeb8d0-78bce223,0.000541923,7933,24984,17083
793686e1-cc6778e6-d2a80d4c-f18ea4e9-8a9c2d77,0.000530842,9510,13742,26748
727693c5-f2587725-a46e3fbc-eb411171-c5eafba8,0.000602136,11981,9307,28712
ed808598-ca0e7582-ba6cc903-ce4d945d-bf51623c,0.00514403,3398,3444,43158
dd2c2799-b33d6e7d-185b8b84-be801a9a-56aada30,0.000541923,1941,19277,28782
cfe3803b-bda748ce-bc38cea0-2f344526-93f98df6,0.000381039,8603,17950,23447
d4623a56-d6bbdaaf-3167bd4a-7f9942b0-d1c885b7,0.000541923,1326,25563,23111
64dbaac2-be177420-2340f28e-ff260762-5e408331,0.000880898,3958,12723,33319
92d4f304-1329a8ad-a0b54cd5-e21f16a2-e4e5c4a3,0.000771605,6954,12363,30683
ce32201c-35e03e57-d895989d-bd7435b5-c6217ffc,0.000353894,21148,16240,12612
b1ddb3ef-225c64ba-86b7207c-9d68c148-fac327a4,0.000603497,8924,11331,29745
9aca7c8b-e4b09dda-266925ab-715b58bb-9e3821e1,0.000756,9412,7727,32861
ae0ece7b-9657ea3a-750bdb22-b5e3d0a2-f8eca99e,0.00072576,9454,7588,32958
9e3854af-364ab3c7-a92ec92a-18f3c01f-1b237303,0.000353894,15973,16619,17408
bbb4e4d7-8a1764ae-3ccbfb17-276201af-8fc1a02b,0.000743378,5144,8496,36360
6ff51d6c-cbb8c6fb-afc92da7-c1522045-d27070c2,0.000411987,8196,16302,25502
20ca09ed-b2773f11-85563bf9-d21b03b3-678ac9f6,0.00030899,14018,16858,19124
da7ac020-69c40154-c413e949-cc8c8c47-3571177a,0.000603497,6054,8451,35495
7a01633d-b9f202f8-4adc7d71-c7698d94-5cc3485c,0.000754371,7876,10782,31342
3e76438-4856751d-486c69e-f260e191-7ea1751a,0.000611735,10138,13564,26298
3ae3fb38-9101999e-486e31e3-667b23a6-eab98b1f,0.000710929,11424,5999,32577
