GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
479be696-c72543ca-ed94cc00-b8bf287a-3f90393b,0.000541923,5559,10877,33564
d575150e-6609e5e0-ca3cfe57-e377d89c-cdb49eea,0.000541923,10859,8977,30164
a9d35212-e072ee79-4253feea-c98dfc5-58305b3,0.000611735,15567,4616,29817
c532970c-28ad4315-2d89fd91-5166ba93-222b572f,0.000858307,6167,5917,37916
2f35a564-409e9987-7ed1e9d0-ce9eb788-8c9f104d,0.000952599,3830,2027,44143
595f530e-43aee715-5d21253a-d1bfc576-4da29edd,0.000381039,22658,8609,18733
68245143-6d7b2405-a22739ab-e418fe55-b9ab386e,0.000381039,17666,5553,26781
c491c576-902a3f7f-a4f7f9ec-c09dd7e1-8b6271ff,0.00036,26961,1811,21228
a61e376e-3f037dca-efbc6b05-acb18216-56c57c0e,0.00023593,15838,7051,27111
7bd978fd-7ba17580-5bcdda79-76be6edf-737c2d92,0.000549316,3897,15959,30144
9406a538-2732a211-d0355837-a9a4ad92-9e60d1ed,0.000428669,14443,6634,28923
89896bd9-7e7fc9d8-a778e73a-b1299623-df1e0326,0.000902867,2169,963,46868
a4446096-ce1a5caa-deaf01ec-544efdd5-7506268c,0.000482253,20430,6309,23261
77a90edb-8c7e6211-2a635591-8392c67f-2ac23d06,0.000597197,9244,1216,39540
1c739a68-34faf9d7-1a48dc95-7d1908fa-7156074f,0.000404728,16024,3147,30829
29243af-6dcfc6b3-f92ea8bc-3183c7d8-20bec4a4,0.000541923,10638,19331,20031
f508cbd0-c315efe9-87341118-7481746b-875fdab2,0.000541923,7267,13573,29160
7d392fb7-327fbfef-9313286e-cd1fcd1d-f22a905f,0.000300407,17398,5222,27380
c2f8c48e-a248a077-a898a6db-f624a7b9-51a01197,0.000976562,745,7604,41651
c6556bed-62ca9afb-17298fe0-206b9c3a-4e61edc0,0.000381039,17865,9359,22776
10e5a97f-d852c5a8-99577936-6f931ca-309ba0aa,0.000897422,2935,951,46114
7f427f1c-70c962f5-f404641d-4330f675-a85a5965,0.000732422,19090,9151,21759
13728ec1-622a85c6-eac18842-a9f1bac9-46fbc71c,0.00023593,16900,9954,23146
866f6fcb-a8d4ddaf-3d0f5424-35d4f23-7a8c2deb,0.000603497,17888,5087,27025
d3a96288-16b2e8fc-83f5054a-875f0a6c-c370db53,0.0493827,2838,3054,44108
aacb6ced-1926fbb5-cf97d216-39707228-200f9775,0.000976562,4145,15928,29927
6a893048-9bcbb918-178b7e04-b3265353-4ff7743,0.000411987,11206,13737,25057
9d91daf3-186a85be-33cce00b-1f27f0f5-9aa944f2,0.00023815,16131,6329,27540
4dad9951-c38e22bd-7c22ed09-815e5c92-42e41c6c,0.000729333,12935,1415,35650
fb2e4d21-20d5d3c3-b91192cb-c4840b21-53a863b1,0.00121933,6871,4191,38938
61fabfa0-aad3aec5-6c8ca9e0-1c1afc48-3de88411,0.00035204,15634,4640,29726
3e932ab1-a3747a31-6c9f1e2a-552f8d7d-f7d6a1ee,0.000797708,2582,1246,46172
f2464316-a3274f25-4d2d7e3-3ccfdf0e-c9709a76,0.000976562,580,15465,33955
31ecb576-5f85b018-8b9fa8bd-b7b344d1-fda6bdbe,0.000411987,14203,10196,25601
7f19b4c6-94ac8606-1b291c6b-2ca29f98-d779ff63,0.00030899,12106,9439,28455
6356fe4f-b1bceb1f-dd7d108f-19592ff0-5244e6f3,0.000482798,15052,5034,29914
561ef3d2-6352a838-477382e9-5097b15c-4e9abf6e,0.000611735,8363,4936,36701
1ec972c0-bb37b6fb-208086af-28f2a44a-b78291a1,0.00076171,6454,2079,41467
71799ca-4d37c48f-9d8287c8-e8d9a884-82811470,0.000353894,16347,7814,25839
52721df2-a54ed108-b83c9550-4f3f9886-adb1a03f,0.000549316,6551,8243,35206
c1d1989a-2f15063a-4c22b537-9e18ed0b-d5fc058e,0.000541923,11246,11395,27359
3a2991b6-3b2561fc-51b9c969-7d3cb845-7ef72b1e,0.000428669,12152,6713,31135
d46565cf-8350ada4-eb08c73-76fca183-c655b722,0.000685871,9229,7303,33468
68c0037a-fb954922-a3d3ec97-c5c398b4-64f4bfde,0.000541923,8611,15979,25410
e325a48d-4e557a59-8ac934bc-9b28d014-40cb32ff,0.000541923,9040,21348,19612
42d4d289-f21fd3e9-ae1a8758-bdb97231-954d1fcd,0.000404728,16640,2769,30591
735d0fe9-51d5f217-3a53f5ab-7458216f-edfadc6b,0.000611735,6920,6783,36297
e489bb32-42d71488-3ffa656c-eb2dbd68-a4c142a9,0.000530842,6911,9247,33842
3fee2063-c5703738-7c2e9e25-f17f6716-b096d401,0.00023593,15328,7864,26808
6fc83c2d-690d2ad2-48612861-42a59f7-e39a472b,0.000411987,20493,16027,13480
5b7a5857-e7aba924-40672a2a-bd46b1d6-4a7109f7,0.000611735,4580,5420,40000
1c93bb4f-6afeebc0-f2266aec-dcf55658-1537bee4,0.000530842,11895,13892,24213
45b83e12-8fbb78ad-2f5714a1-d9204be7-f004e2f7,0.000702539,12443,592,36965
575c6efd-457dc973-1e4b0c1a-7f34cabe-fb4d9ecd,0.000353894,12075,8560,29365
c14bf3e9-7574143a-c628f1d4-7a5ea75d-20b6a374,0.000734082,15161,5504,29335
4134e0b3-20183646-965335be-733638b0-d902c368,0.000976562,613,25310,24077
92646198-4a5bf188-5f870e35-c5a8e15-772ee048,0.000400543,13474,4091,32435
1abb05a2-2c70334b-a4c43867-c31cc50f-f45e4cd6,0.0072,5572,3764,40664
92f06cf4-819cd0a9-5420d0fc-ab689a9c-1e4f5b7a,0.000816118,8338,1660,40002
6cbb939f-782d6b4e-f90dee6c-2001b409-80839586,0.000231743,19016,14805,16179
bfb4b54e-94b557b1-5baca53a-e0159dd8-96ab4d9d,0.00023593,19850,8675,21475
d990f651-4d129a9f-14ace333-915fe390-ff38f8aa,0.000530842,14671,12177,23152
48888b4b-6fe331c6-dcd35ed9-90d8698d-2ceb6e4a,0.000976562,966,20336,28698
5834544f-7edde48-a933f98a-b08d445d-4a3c09bd,0.000734082,11405,5149,33446
a21c69f7-32bf2146-2b6a9bb1-f4c68be1-14e1edbc,0.000440449,19905,7384,22711
b9a2231a-39821c7f-1af3f90a-54cb6d40-d5cd2036,0.000482798,11117,4651,34232
a7f2c559-75af4c7c-cbf4a7d-7a085da6-8be4ec75,0.000796262,4999,9477,35524
2a4962fa-a1e88fa6-d9de4da8-d8790eed-d409e29a,0.000541923,14621,8685,26694
cd9ad716-37d1e816-66eb6291-41e8130b-8f0cf07,0.00023593,13191,5995,30814
3e54b20b-dc77a19d-d9454cc7-5d6902f7-f378bc33,0.000685871,5152,6289,38559
bdae1509-976407f2-d5c45063-492be03b-b6671d08,0.000652894,12923,1480,35597
49ed0ceb-b80fa659-a729f7fb-5bad2ba0-8b885d6f,0.000976562,2753,6462,40785
1f9eb8d-771d87-dd6c5daa-3d2085a1-16f661f6,0.000135481,30318,2796,16886
2bb6f3b9-2ad86589-e4f08453-4e51c76d-81685809,0.00023593,18275,8384,23341
23b5245c-ca4d0407-689169c1-684e5bb4-ebfe0eb,0.000734082,2888,6291,40821
e84a7290-b823e09f-6c8d866b-58e67190-12361cb6,0.000796262,1221,11046,37733
d870d166-4be04c64-73103b52-9847cd55-81509374,0.000685871,10788,10105,29107
3f3c31b3-f53f1d19-8eaa3488-49788a55-8db4a6b0,0.000367041,7952,5972,36076
32cf6641-8b6981c5-c72596a4-a80b2e01-c21beeb3,0.00072,12807,1031,36162
ef447ed2-84721dc5-4be4360-7bbe7109-6745f7b5,0.000685871,4346,7686,37968
14fa0790-d5065dfc-bc403a39-84d7eded-94441220,0.000353894,18193,13354,18453
