GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
58d5d5ce-d0c9a21-3aad495d-c93ea321-9b706d0f,0.000609663,7536,1938,40526
6e91c4d5-d445d973-8ce1c581-b9f1d0b8-ce6b2e85,0.000541923,6386,4945,38669
81a23cbe-ed4f8fc1-1c3b099e-91f856b5-fd9feeed,0.000514984,10852,866,38282
bb1278be-d290a1d3-7abc7dee-80ebc4b-a62e4bf,0.000509779,20945,1256,27799
9b5563f3-c569ff3d-c5a2f25c-13b6a788-59fbf9fe,0.000868056,1979,2066,45955
ed3248ec-1566d99-93e6764d-5088f7cd-ba087c86,0.000917985,4149,46,45805
6d0516aa-b5cf512a-b48d683d-81608067-b36aba7a,0.000183521,23803,1141,25056
2b3c5ffd-cf05b6cf-3f30119f-543af3b1-2496dbc9,0.00158203,1515,35,48450
2643a9ef-998e18b8-1b399ffd-1b1a6da4-3fb088f4,0.000267918,21166,1844,26990
d83d7c5a-229f711-ee86b312-6f5db07-c8ae6fd4,0.000530842,17573,3518,28909
51d8fdd5-3241f744-2a9da271-ca1f4cab-85864c72,0.00023815,24293,2781,22926
179fca7e-d6bf6c66-37c3bbdd-557f0559-339e625f,0.00040841,15660,226,34114
d4204af5-96208e96-b0061bf7-208f0b34-bff9345f,0.000428669,18886,3002,28112
9343423d-40738aba-2ead28f9-52887f63-b7f00cf6,0.000541923,12487,8001,29512
f95c6d96-2ca0d1ab-320e0811-f52ba8e5-6e932eea,0.000771605,2323,2160,45517
4b8bfe4e-982c2059-8327ace0-9e7b20ba-c24f36d8,0.000686646,6381,593,43026
380d3b34-65aa4427-1a852def-9b924231-38ba981d,0.000549316,7015,5881,37104
737abcb1-7bf0c479-73593389-3b0e0df-1140a4f8,0.000743378,8226,503,41271
7103fe56-8e39df21-834aa08e-41a7f361-75bb46f3,0.000428669,13341,2580,34079
759d7be7-90bba99b-5e86c9c1-5d3bb368-454cf627,0.000353894,20119,3423,26458
aeb9427f-840e763-455cc791-68def1d4-b4bd1727,0.0032959,1183,356,48461
ba307c2e-23c106b4-3b4a96b9-65379b22-cfdc16bc,0.000211689,15812,1955,32233
f6138451-47f8ae14-1715c493-d16d665f-8254493a,0.00064373,8757,864,40379
d2bbfb74-3cfce6a-a22f98a5-948e5597-86173fa7,0.000411987,23144,5245,21611
70276f4f-f2531c70-f9f2a877-cb15ae-293fee7a,0.000411987,15839,6652,27509
622f2ea4-31223a2-5031c6e2-5e73ead5-fca51f5a,0.000367041,11314,1119,37567
24a97c11-724e6844-3fbd8ebf-c647514a-2c0136f1,0.00025489,16501,1140,32359
5677a6eb-41aa2a8-ae11a07f-286f7c8f-6c8c7d4f,0.000541923,15130,7624,27246
1593b092-61f28416-6573b651-66d0db33-60ace14e,0.000509779,13964,1512,34524
6ca822ef-88f76166-70efc361-4b0069af-d702942b,0.000411987,16362,3742,29896
2d083d5c-2f9349c2-375e8e47-b2401bd3-49c69355,0.000411987,17258,5516,27226
ce029e28-b5b12bca-4c0f1e66-5359d12d-25db6849,0.000732422,7749,4919,37332
c18cc480-1d99de71-1814d819-25ac61c1-f7c0f66f,0.000338702,15927,2330,31743
612a9562-fc20e3b2-fd60f940-96f955a5-718f71b0,0.000816118,4424,187,45389
1e3f1fa1-5856dfa3-4d5bdcd0-3c20e051-c52dd07b,0.000411987,17880,5967,26153
752f15e9-5f8df283-2683bd42-2c6d8ac1-1c7fc0bf,0.00151704,904,242,48854
9601d228-873719a5-7af8224-58c473d9-c648d3de,0.000530842,14298,4594,31108
dfa25b5c-87b0d341-12e4da25-9139b80d-78e816cf,0.000881467,3858,281,45861
8e7f4d6f-84cdda06-ff62df5c-3e14abf8-1e881d53,0.000549316,7681,5445,36874
98612a20-16ed6272-215efc7-8576f600-798a3164,0.000611735,7661,1473,40866
65488d02-7c5c338f-4780b5e8-30f50986-1fb60a2b,0.000541923,11984,5797,32219
60e8eaca-194d275-522a8e14-57ba3fe4-133095df,0.000353894,19085,2564,28351
b88915b5-50b10565-7fc3c22-14a7a322-5b4639d4,0.000804663,3211,1044,45745
d4e3a209-1a8eee9a-e59d11ac-7c8d49e4-2d7432ef,0.00107098,1053,31,48916
c1d70e53-58a838b3-e4fddcac-28e98798-c282f2f7,0.000609663,11270,1597,37133
c07e506b-2b88a6a6-4d1f787c-9438f334-5aaf7a4a,0.000482253,17090,1981,30929
93cea0ae-ced8ed1d-1600766a-22281ca5-a9721b13,0.000509779,23471,1137,25392
fb4ae2f0-cda65a9e-dc66a485-161c9e3e-20800710,0.000541923,11600,6293,32107
5c76891-69833a7d-914ea24c-faf27a2-77851790,0.000771605,8268,2175,39557
a36f0236-7d097a52-7e578383-2f126697-51c49abe,0.000825976,3591,644,45765
41e144-50f9d031-e4e16b4d-f8039d0a-bb921d3a,0.000411987,18134,2615,29251
4a3a3afc-cf3e2431-918e32b3-b90700bd-9e10b990,0.000858307,4772,877,44351
5658c61a-da141de8-783f5f2d-a0b6f4d8-180530c7,0.000305868,15937,969,33094
55d034be-81a854f2-fe7637ad-e5023eec-cc6c744f,0.000825976,2790,615,46595
6ddcbdab-f9c7ac04-c33b510f-8ebc7bc0-7868e786,0.000754371,6283,1011,42706
71ba5356-a9172df2-c77087ef-87abd1b7-560be5b5,0.000976562,2181,7267,40552
e8acfc70-79572cb-9fd94c68-4848f557-32bfcead,0.000530842,16522,4707,28771
7c477320-bf1e3d12-7bd5ce0-3e82ebb8-a1d0c3d3,0.000549316,9735,4082,36183
a104bcb6-a8637648-7eed19af-1b608281-d9bf44aa,0.00384,1519,656,47825
9cf17606-1755a96e-2dfb828f-b7d19c89-ca78890a,0.000530842,9855,3908,36237
82ef4351-52f796f6-7c1f35e2-2004e8d1-8a9419ec,0.000428669,15217,2155,32628
2b266f8f-aedfb3fc-20d503ec-a153f735-87eb5886,0.000305868,19121,1468,29411
7bd7f06d-79bfe2fa-86287ca-5ffe9b43-120c30cf,0.000411987,9633,3955,36412
c6eeed3c-8a97ffb7-8a19a3e0-770da46b-a5751ca1,0.000381039,19481,2492,28027
9bb9e2e1-f84def6-74484a7-638f90e3-e61a1b5d,0.000541923,15151,8603,26246
f0358116-3b89013d-d600f08c-9cd36994-ffd1bc14,0.000530842,12755,3623,33622
74614ef7-b7f9b418-9c492b05-ae40757f-5e63f4b8,0.000541923,8665,7070,34265
61707923-bd4117fd-4ac05ade-b8451a8c-7bc84737,0.00072576,10847,241,38912
654402ff-79e24801-cc628590-a85a07e8-1f44fade,0.000381039,17504,2225,30271
ab93242f-a8f7a1ba-61613a1a-76cb4a17-c75191cf,0.000609663,10806,2382,36812
e153f771-efe381c4-f962467a-a757ca74-b62f8dc0,0.000642426,6164,514,43322
1a8a8f24-dcf4558a-83fca8ff-2460faed-55f1dfae,0.000541923,19603,5013,25384
f312203f-a8911d0a-cc72b513-827da6e0-a8599eed,0.000542535,14721,1949,33330
1b81bf71-7d856c9-e8941ccc-2e9b95eb-bc581618,0.000530842,10376,3800,35824
f9a909e8-7f108b2e-cc745d94-6740bd15-2acbf44,0.000192901,26010,417,23573
febce93e-28082d14-888e0a41-aec86be6-e23ec2a9,0.000381039,16828,1994,31178
c664abaf-c15514c4-e15d2d06-9e5dff04-5f3b6fc1,0.000541923,11963,6624,31413
60dadb75-e58f1a0f-4dc61cf8-e7544f68-e0980c78,0.00030899,19507,5944,24549
e7484939-43034ef0-cd4d961a-8c5f37d2-19d97088,0.000709074,4844,75,45081
