k,m,h(m)
4,23,0.597683
4,24,0.583536
4,25,0.569642
4,26,0.555998
4,27,0.542601
4,28,0.529447
4,29,0.516533
4,30,0.503858
4,31,0.491417
4,32,0.479208
4,33,0.467228
4,34,0.455473
4,35,0.443942
4,36,0.432632
4,37,0.421539
4,38,0.41066
4,39,0.399994
4,40,0.389536
4,41,0.379285
4,42,0.369238
4,43,0.359392
4,44,0.349744
4,45,0.340291
4,46,0.331032
4,47,0.321962
4,48,0.31308
4,49,0.304384
4,50,0.29587
4,51,0.287535
4,52,0.279378
4,53,0.271396
4,54,0.263586
4,55,0.255946
4,56,0.248473
4,57,0.241165
4,58,0.234019
4,59,0.227034
4,60,0.220206
4,61,0.213533
4,62,0.207013
4,63,0.200643
4,64,0.194421
4,65,0.188346
4,66,0.182414
4,67,0.176623
4,68,0.170971
4,69,0.165456
4,70,0.160075
4,71,0.154827
4,72,0.149708
4,73,0.144718
4,74,0.139854
4,75,0.135113
4,76,0.130494
4,77,0.125994
4,78,0.121611
4,79,0.117344
4,80,0.113191
4,81,0.109148
4,82,0.105215
4,83,0.101389
4,84,0.0976681
4,85,0.0940508
4,86,0.0905348
4,87,0.0871184
4,88,0.0837996
4,89,0.0805766
4,90,0.0774474
4,91,0.0744102
4,92,0.0714633
4,93,0.0686048
4,94,0.0658328
4,95,0.0631458
4,96,0.0605418
5,1,0.973958
5,2,0.948462
5,3,0.923503
5,4,0.899071
5,5,0.87516
5,6,0.85176
5,7,0.828863
5,8,0.806461
5,9,0.784547
5,10,0.763111
5,11,0.742146
5,12,0.721645
5,13,0.701599
5,14,0.682002
5,15,0.662844
5,16,0.64412
5,17,0.625821
5,18,0.60794
5,19,0.590471
5,20,0.573405
5,21,0.556736
5,22,0.540458
5,23,0.524562
5,24,0.509042
5,25,0.493892
5,26,0.479105
5,27,0.464674
5,28,0.450593
5,29,0.436855
5,30,0.423455
5,31,0.410385
5,32,0.39764
5,33,0.385214
5,34,0.373101
5,35,0.361294
5,36,0.349787
5,37,0.338576
5,38,0.327654
5,39,0.317016
5,40,0.306656
5,41,0.296569
5,42,0.286749
5,43,0.27719
5,44,0.267889
5,45,0.258838
5,46,0.250034
5,47,0.241472
5,48,0.233145
5,49,0.22505
5,50,0.217181
5,51,0.209534
5,52,0.202103
5,53,0.194885
5,54,0.187875
5,55,0.181068
5,56,0.17446
5,57,0.168046
5,58,0.161822
5,59,0.155784
5,60,0.149927
5,61,0.144248
5,62,0.138742
5,63,0.133406
5,64,0.128235
5,65,0.123226
5,66,0.118375
5,67,0.113677
5,68,0.10913
5,69,0.10473
5,70,0.100473
5,71,0.0963549
5,72,0.0923732
5,73,0.0885244
5,74,0.0848049
5,75,0.0812114
5,76,0.0777409
5,77,0.07439
5,78,0.0711556
5,79,0.0680347
5,80,0.0650244
5,81,0.0621215
5,82,0.0593232
5,83,0.0566267
5,84,0.0540292
5,85,0.0515278
5,86,0.04912
5,87,0.046803
5,88,0.0445743
5,89,0.0424313
5,90,0.0403715
5,91,0.0383925
5,92,0.0364919
5,93,0.0346673
5,94,0.0329164
5,95,0.031237
5,96,0.0296269
6,1,0.96875
6,2,0.938318
6,3,0.908687
6,4,0.87984
6,5,0.85176
6,6,0.824431
6,7,0.797836
6,8,0.77196
6,9,0.746788
6,10,0.722303
6,11,0.698491
6,12,0.675336
6,13,0.652825
6,14,0.630943
6,15,0.609675
6,16,0.589008
6,17,0.568928
6,18,0.549422
6,19,0.530476
6,20,0.512078
6,21,0.494215
6,22,0.476874
6,23,0.460043
6,24,0.443711
6,25,0.427864
6,26,0.412491
6,27,0.397582
6,28,0.383125
6,29,0.369108
6,30,0.355521
6,31,0.342354
6,32,0.329595
6,33,0.317235
6,34,0.305264
6,35,0.293672
6,36,0.282449
6,37,0.271585
6,38,0.261072
6,39,0.250901
6,40,0.241061
6,41,0.231546
6,42,0.222345
6,43,0.213452
6,44,0.204856
6,45,0.196551
6,46,0.188529
6,47,0.180781
6,48,0.1733
6,49,0.166079
6,50,0.159111
6,51,0.152388
6,52,0.145903
6,53,0.13965
6,54,0.133622
6,55,0.127813
6,56,0.122215
6,57,0.116823
6,58,0.111631
6,59,0.106633
6,60,0.101822
6,61,0.0971939
6,62,0.0927423
6,63,0.0884619
6,64,0.0843474
6,65,0.0803936
6,66,0.0765955
6,67,0.0729481
6,68,0.0694466
6,69,0.0660862
6,70,0.0628625
6,71,0.0597709
6,72,0.0568071
6,73,0.0539667
6,74,0.0512457
6,75,0.04864
6,76,0.0461456
6,77,0.0437588
6,78,0.0414757
6,79,0.0392928
6,80,0.0372065
6,81,0.0352132
6,82,0.0333098
6,83,0.0314929
6,84,0.0297594
6,85,0.0281061
6,86,0.02653
6,87,0.0250283
6,88,0.0235981
