l,p(!0),p(0)
1,2.98023223876953125e-08,0.999999970197677612
2,0.000752543480591655586,0.999247456519408344
3,0.0354977938997244193,0.964502206100275581
4,0.199196624054894079,0.800803375945105921
5,0.452160853838243629,0.547839146161756371
6,0.674550472370541727,0.325449527629458273
7,0.821947031723630623,0.178052968276369377
8,0.906787264440745693,0.0932127355592543075
9,0.952299379254990527,0.0477006207450094735
10,0.975869940821670985,0.0241300591783290151
11,0.987864246946297163,0.0121357530537028367
12,0.993914344244189904,0.00608565575581009624
13,0.996952715417936028,0.00304728458206397231
14,0.998475242287169766,0.00152475771283023441
15,0.999237342263087852,0.000762657736912147975
16,0.999618601477951092,0.000381398522048908466
17,0.999809283370852672,0.000190716629147328102
18,0.999904637368597947,9.53626314020532945e-05
19,0.999952317618545815,4.76823814541845999e-05
20,0.999976158549934441,2.38414500655593966e-05
21,0.999988079213862294,1.19207861377058845e-05
22,0.999994039593608831,5.96040639116860501e-06
23,0.999997019794495231,2.98020550476883013e-06
24,0.999998509897203223,1.49010279677704591e-06
25,0.999999254948868067,7.45051131932855746e-07
26,0.999999627474644975,3.7252535502467661e-07
27,0.999999813737450163,1.86262549837286785e-07
28,0.999999906868795857,9.31312041428742493e-08
29,0.999999953434435746,4.65655642544653484e-08
30,0.999999976717237735,2.32827622646488742e-08
31,0.99999998835862921,1.1641370789713338e-08
32,0.999999994179319967,5.82068003279929969e-09
33,0.999999997089662755,2.91033724507047675e-09
34,0.999999998544832808,1.45516719247257287e-09
35,0.999999999272417141,7.27582859412490013e-10
36,0.99999999963620895,3.63791050235484636e-10
37,0.99999999981810467,1.81895329961351271e-10
38,0.999999999909052435,9.09475646919746805e-11
39,0.999999999954526269,4.54737308463841472e-11
40,0.999999999977263161,2.27368389957641193e-11
41,0.999999999988631594,1.13684059453549036e-11
42,0.999999999994315804,5.68419551878751594e-12
43,0.999999999997157905,2.84209504888832676e-12
44,0.999999999998578955,1.42104481393873217e-12
45,0.999999999999289478,7.10522406969366083e-13
46,0.999999999999644739,3.55260525858325238e-13
47,0.99999999999982237,1.77630262929162619e-13
48,0.999999999999911185,8.88151314645813095e-14
49,0.999999999999955592,4.44075657322906547e-14
50,0.999999999999977797,2.22031052397875239e-14
51,0.999999999999988898,1.11022302462515654e-14
52,0.999999999999994449,5.5511151231257827e-15
53,0.999999999999997224,2.77555756156289135e-15
54,0.999999999999998612,1.38777878078144568e-15
55,0.999999999999999306,6.93889390390722838e-16
56,0.999999999999999653,3.46944695195361419e-16
57,0.999999999999999827,1.73472347597680709e-16
58,0.999999999999999913,8.67361737988403547e-17
59,0.999999999999999957,4.33680868994201774e-17
60,0.999999999999999978,2.16840434497100887e-17
61,0.999999999999999989,1.08420217248550443e-17
62,0.999999999999999995,5.42101086242752217e-18
63,0.999999999999999997,2.71050543121376109e-18
64,0.999999999999999999,1.35525271560688054e-18
65,1,0
