GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
5834f78-fcea3dcf-f913d75d-db961ee2-358fa9fb,0.000771605,5262,14755,29983
4c441e9b-41722b37-d2c9e594-37720b9-bf613809,0.000316406,27436,6342,16222
d9f08423-55047d16-1f8bf0c5-9285924c-86afcaae,0.00072576,9723,11320,28957
94b80e57-88533535-3216cf12-c3eb4b48-6f7dcc66,0.000381039,11775,16913,21312
2872b577-96f22d5a-3a834f3e-ac0a2de0-386a0ddb,0.000541923,12098,18811,19091
4bf1744e-3d7ea5ad-cc963543-142a4bec-d8eeddbe,0.000509779,15921,18215,15864
c3ce8298-c78d49e3-d612f237-2093d6db-3693d6cb,0.000609663,12437,7789,29774
6c5a837c-17158f41-5abc8423-ff9d075b-70261be0,0.00033039,12983,13209,23808
44067721-83d7ec74-63c80cff-fff8cd0b-a091388,0.000530842,10393,23275,16332
a750a555-ab012d88-290bcbf0-3ba1a80b-c75330bd,0.000734082,9531,17408,23061
8c565f92-65b97781-9c6b5807-f009bf20-1742f7b7,0.000632957,13447,7544,29009
f4618097-c4d605f4-dc365548-59f3bf67-beca5b07,0.000482798,12042,15065,22893
f543728a-b8a187c0-97cfa17-1acbd2b6-9f80dbd8,0.00823045,1000,22277,26723
70c0d3aa-962b9bf8-925393b6-72c853f7-97bc6712,0.000705174,10724,9394,29882
2d43b673-3d382678-17950866-546a7bc5-f2452b28,0.000353894,19826,16907,13267
87ee07d8-bcb05f56-6184da62-a053e625-c76da5cd,0.00108385,4920,21781,23299
cb2ce8f2-3241a16a-3758d660-43d4cc8a-e160c19f,0.000220225,21507,18790,9703
ad58da56-ecebe885-f5d0d632-14dd5256-776b3a02,0.000902867,1333,6451,42216
f5fac6e3-899cb88e-f373e3a8-71c3210-3604c70d,0.000603497,13041,16791,20168
86e546ba-ca8644a8-4ab77df3-fadd1e16-69ebc609,0.000221184,14159,10496,25345
a31e27f7-b1041f6a-3a860cdd-d27193e-3f9710b6,0.000281632,9664,15015,25321
947f5209-34855e89-64af0264-f92bc956-81ee2b2a,0.000468328,8194,11347,30459
2f0089cc-4d5ef907-ac321007-b65bd3dd-5f01de8d,0.000428669,16249,20315,13436
41882cb5-7cfea6a-e88001c9-7dcd5e6e-355201b6,0.000367041,12680,16240,21080
7cf3aaa8-71d95f54-3284558-9ab327a1-f4c6dd11,0.000267918,16909,16404,16687
c6ba3d66-88d6d6f-d69cf331-8b1a80eb-47691fc7,0.000804663,8818,14355,26827
e840acf6-e2b2abc6-6e1c4baa-dd1c2635-62b254d7,0.000353894,18435,16989,14576
120b6756-c7a5665e-fd84b347-30d794a1-2a7ce3a7,0.000609638,13004,11360,25636
f600fda1-9c3132da-467f326e-f0ae9935-6d70c951,0.00308642,2679,23218,24103
fb58c26d-25314441-b521c714-e7f817f4-3ffd790f,0.0104167,2839,12217,34944
8f8d6acd-7dae295-bc26ee48-2dc08dd0-8b1c7a2d,0.000353894,16859,22067,11074
e52373aa-b60d9962-5338b723-c1d2d7ad-2511ffe9,0.000530842,16037,21099,12864
1872b691-4beff143-bd4c065f-fd1331d3-b98db51d,0.000509779,11041,18581,20378
d237e165-7e176f40-48bc1348-cccc3652-a1c0aedf,0.000652894,10677,8663,30660
fd958658-57068036-fd294499-a1fa856f-97bea33b,0.000549316,3173,20494,26333
a2d8743d-bb9e1aad-546282a7-cabbe63b-d7617a6d,0.000411987,8041,23472,18487
a2163b95-6b883d25-d3cbfd3-6c700b82-8af45cd2,0.00082944,4702,9210,36088
2bf3d28c-c1960b5f-3dcb565e-b2d4bff2-c49fe13e,0.000381039,17956,18983,13061
8e9d81ea-bae4a716-30e51db9-23453a82-f2e54528,0.000754371,4325,14483,31192
267a1ae1-30d2df8d-c73e95b6-acc4f772-c0af27ab,0.000353894,17537,24934,7529
e54b931e-c0508f76-687e5005-f40bf4c6-dc790c68,0.000541923,7103,25160,17737
7fb62655-b2e15d0-b856f382-14c4413d-e7ae3d67,0.000541923,8208,26070,15722
6c3467a5-a1d39365-30384748-b0d7d658-f22c25e9,0.000822272,4490,4253,41257
a9ac4aaa-ab69bf4e-7cb61806-ebfe0bf-1e5b18f3,0.000756,6948,11456,31596
605327b2-a4753ce3-7a3a0432-b275d6cb-2fb62d73,0.000449698,9040,12510,28450
86466851-adf5da0d-2634cb24-f2d53cbb-5e649f72,0.000284444,20419,7354,22227
1cbf9776-a761e93f-4b7c8a64-1bb2e9ff-6f140298,0.000868056,4956,11377,33667
d0ba318-452a62a0-26d1c4ff-5a6d303c-dc0ac1a1,0.000599597,10851,9304,29845
70ea559f-dce1ef4f-206ff4b5-4adf2f54-d94dfd77,0.0006615,11186,10202,28612
a33aa96b-15a02634-2c8fd4f0-85113c9b-18b379ad,0.000530842,14391,23946,11663
1346f70-ef4319c5-7f1941db-70d86dd0-e1b1d929,0.000609663,14463,17806,17731
25dbeb0e-7e2f5ded-b934f7a7-5df5958b-370d3f8a,0.00030899,14793,23796,11411
fc5476a9-cc55a509-906a7cf-1f94412f-24cbadb2,0.000549316,14479,21274,14247
b1ee58d9-7d133605-e3ae694e-230454c0-2ed8c4ce,0.000602136,6328,12472,31200
379dbaf7-b9e9d4f8-f59d796d-8ae39bd7-985fa4a6,0.00023593,12100,25156,12744
e12df352-477f98b0-9b41799b-2ffd5e18-22d9d2d5,0.06144,2501,8008,39491
9c1ae98c-cd3a7a18-132f4114-52f2fa3f-756a1f81,0.000157286,14910,19813,15277
96bd0423-568c8add-d96bbbb6-857c3f99-2d987b46,0.000732422,6693,26392,16915
e925218f-e76c3338-f7423f6e-132007cc-eb2376bb,0.000611735,9689,19141,21170
