HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,354,384,0.921875,1,307.3,0.800261
2,63104,73536,0.858138,1,47845.2,0.650636
3,804251,1e+06,0.804251,0,535189,0.535189
4,758358,1e+06,0.758358,0,446159,0.446159
5,717865,1e+06,0.717865,0,375356,0.375356
6,683452,1e+06,0.683452,0,320103,0.320103
7,654019,1e+06,0.654019,0,275726,0.275726
8,624904,1e+06,0.624904,0,237352,0.237352
9,600196,1e+06,0.600196,0,207026,0.207026
10,578182,1e+06,0.578182,0,180995,0.180995
11,555972,1e+06,0.555972,0,158469,0.158469
12,539134,1e+06,0.539134,0,139835,0.139835
13,522132,1e+06,0.522132,0,123717,0.123717
14,506603,1e+06,0.506603,0,109028,0.109028
15,492144,1e+06,0.492144,0,95968.5,0.0959685
16,479522,1e+06,0.479522,0,84996.2,0.0849962
17,468090,1e+06,0.46809,0,75560.4,0.0755604
18,456787,1e+06,0.456787,0,66966.5,0.0669665
19,447200,1e+06,0.4472,0,59093.7,0.0590937
20,438782,1e+06,0.438782,0,52929.8,0.0529298
21,430940,1e+06,0.43094,0,46807.6,0.0468076
22,422659,1e+06,0.422659,0,41139.2,0.0411392
23,417333,1e+06,0.417333,0,36830.4,0.0368304
24,410857,1e+06,0.410857,0,32804.7,0.0328047
25,404943,1e+06,0.404943,0,28963,0.028963
26,400861,1e+06,0.400861,0,25484.6,0.0254846
27,396264,1e+06,0.396264,0,22758.2,0.0227582
28,392778,1e+06,0.392778,0,20181.1,0.0201811
29,390029,1e+06,0.390029,0,17981.8,0.0179818
30,386515,1e+06,0.386515,0,15914.2,0.0159142
31,384271,1e+06,0.384271,0,14051.5,0.0140515
32,381560,1e+06,0.38156,0,12608.2,0.0126082
33,378530,1e+06,0.37853,0,11215.3,0.0112153
34,377505,1e+06,0.377505,0,9857.52,0.00985752
35,375195,1e+06,0.375195,0,8691.47,0.00869147
36,373907,1e+06,0.373907,0,7886.41,0.00788641
37,373354,1e+06,0.373354,0,7009.75,0.00700975
38,372081,1e+06,0.372081,0,6104.51,0.00610451
39,369936,1e+06,0.369936,0,5351.84,0.00535184
40,369239,1e+06,0.369239,0,4847,0.004847
41,368486,1e+06,0.368486,0,4360.76,0.00436076
42,367798,1e+06,0.367798,0,3800.79,0.00380079
43,367218,1e+06,0.367218,0,3572.09,0.00357209
44,367533,1e+06,0.367533,0,3052.64,0.00305264
45,365992,1e+06,0.365992,0,2732.34,0.00273234
46,366321,1e+06,0.366321,0,2467.85,0.00246785
47,367472,1e+06,0.367472,0,2243.09,0.00224309
48,365867,1e+06,0.365867,0,1993.15,0.00199315
49,365765,1e+06,0.365765,0,1826.77,0.00182677
50,365132,1e+06,0.365132,0,1656.6,0.0016566
51,366230,1e+06,0.36623,0,1431.09,0.00143109
52,364817,1e+06,0.364817,0,1250,0.00125
53,365852,1e+06,0.365852,0,1179.97,0.00117997
54,365873,1e+06,0.365873,0,1090.39,0.00109039
55,365835,1e+06,0.365835,0,969.53,0.00096953
56,366462,1e+06,0.366462,0,860.095,0.000860095
57,366364,1e+06,0.366364,0,798.387,0.000798387
58,365403,1e+06,0.365403,0,730.066,0.000730066
59,366177,1e+06,0.366177,0,674.064,0.000674064
60,366536,1e+06,0.366536,0,612.83,0.00061283
61,366130,1e+06,0.36613,0,550.244,0.000550244
62,367040,1e+06,0.36704,0,501.742,0.000501742
63,367284,1e+06,0.367284,0,455.421,0.000455421
64,366762,1e+06,0.366762,0,421.822,0.000421822
65,367027,1e+06,0.367027,0,395.043,0.000395043
66,367700,1e+06,0.3677,0,377.217,0.000377217
67,367340,1e+06,0.36734,0,348.097,0.000348097
68,367446,1e+06,0.367446,0,313.156,0.000313156
69,368533,1e+06,0.368533,0,286.625,0.000286625
70,368293,1e+06,0.368293,0,276.027,0.000276027
71,368384,1e+06,0.368384,0,263.13,0.00026313
72,369249,1e+06,0.369249,0,239.878,0.000239878
73,368776,1e+06,0.368776,0,227.583,0.000227583
74,369344,1e+06,0.369344,0,214.256,0.000214256
75,369437,1e+06,0.369437,0,200.381,0.000200381
76,369196,1e+06,0.369196,0,191.403,0.000191403
77,369947,1e+06,0.369947,0,179.103,0.000179103
78,370236,1e+06,0.370236,0,168.807,0.000168807
79,369604,1e+06,0.369604,0,156.266,0.000156266
80,369594,1e+06,0.369594,0,153.898,0.000153898
81,369936,1e+06,0.369936,0,146.577,0.000146577
82,369285,1e+06,0.369285,0,140.703,0.000140703
83,370132,1e+06,0.370132,0,138.764,0.000138764
84,369355,1e+06,0.369355,0,131.058,0.000131058
85,370691,1e+06,0.370691,0,125.655,0.000125655
86,370738,1e+06,0.370738,0,116.071,0.000116071
87,370562,1e+06,0.370562,0,114.862,0.000114862
88,370055,1e+06,0.370055,0,107.364,0.000107364
89,369093,1e+06,0.369093,0,106.129,0.000106129
90,370870,1e+06,0.37087,0,104.377,0.000104377
91,368868,1e+06,0.368868,0,99.5977,9.95977e-05
92,369298,1e+06,0.369298,0,95.6355,9.56355e-05
93,369648,1e+06,0.369648,0,93.5276,9.35276e-05
94,370597,1e+06,0.370597,0,94.2117,9.42117e-05
95,369627,1e+06,0.369627,0,89.697,8.9697e-05
96,369058,1e+06,0.369058,0,86.1404,8.61404e-05
97,369152,1e+06,0.369152,0,86.4675,8.64675e-05
98,368368,1e+06,0.368368,0,84.5322,8.45322e-05
99,369269,1e+06,0.369269,0,82.1576,8.21576e-05
100,367936,1e+06,0.367936,0,79.0058,7.90058e-05
101,368596,1e+06,0.368596,0,77.9274,7.79274e-05
102,367329,1e+06,0.367329,0,76.1363,7.61363e-05
103,368150,1e+06,0.36815,0,74.9655,7.49655e-05
104,367520,1e+06,0.36752,0,72.8781,7.28781e-05
105,366772,1e+06,0.366772,0,71.0365,7.10365e-05
106,366965,1e+06,0.366965,0,70.946,7.0946e-05
107,367651,1e+06,0.367651,0,71.5222,7.15222e-05
108,366503,1e+06,0.366503,0,68.026,6.8026e-05
109,365549,1e+06,0.365549,0,68.4791,6.84791e-05
110,365269,1e+06,0.365269,0,66.4545,6.64545e-05
111,364067,1e+06,0.364067,0,64.7678,6.47678e-05
112,364069,1e+06,0.364069,0,64.6354,6.46354e-05
113,363269,1e+06,0.363269,0,63.7453,6.37453e-05
114,363589,1e+06,0.363589,0,62.8726,6.28726e-05
115,361600,1e+06,0.3616,0,62.1401,6.21401e-05
116,361009,1e+06,0.361009,0,61.2297,6.12297e-05
117,360823,1e+06,0.360823,0,61.5347,6.15347e-05
118,360638,1e+06,0.360638,0,60.3894,6.03894e-05
119,359813,1e+06,0.359813,0,59.7526,5.97526e-05
120,357829,1e+06,0.357829,0,59.0118,5.90118e-05
121,358637,1e+06,0.358637,0,57.9689,5.79689e-05
122,357454,1e+06,0.357454,0,57.8731,5.78731e-05
123,356373,1e+06,0.356373,0,57.231,5.7231e-05
124,355917,1e+06,0.355917,0,56.4752,5.64752e-05
125,354448,1e+06,0.354448,0,55.7175,5.57175e-05
126,353428,1e+06,0.353428,0,55.2943,5.52943e-05
127,353002,1e+06,0.353002,0,55.5406,5.55406e-05
128,352076,1e+06,0.352076,0,54.1047,5.41047e-05
