GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual,NumberEvolvingLessFit
6ee3960f-507c782-b541b47e-d4f19d50-d232ee60,0.000902867,2668,10884,36448
78b02520-5cb8f7c6-16d4534f-a7fb314e-c87b7f03,0.000385802,21890,15978,12132
f56979d5-38dac507-af232066-ddc71bd9-8d2bc61f,0.0288,13247,10233,26520
dedc509-868e4f8d-c6e5e9b1-43def55b-79188668,0.00023593,15757,28382,5861
37153513-44265477-4cadbe09-ccbe1235-9871e4bc,0.00170667,4748,13685,31567
aa17c667-8dcccc8a-cdb27bbb-18ab4810-878e436d,0.000338702,12997,21709,15294
10de8bd3-c13bd4e7-77720e3c-8aeb1bb9-16fb3b17,0.00114441,4435,12304,33261
6a7394f2-53dfd999-da696113-ae24a5a1-4b8d7b99,0.000482798,11316,19142,19542
8e0df98f-b4cf8d2f-2b4838d0-76c396d9-55fe2788,0.000411987,4753,30374,14873
b59acc44-eb68ede2-9a945f69-8b243acc-33b6bfc3,0.000353894,10030,27369,12601
b9968535-9f70efb0-d8d12cde-7a7b474b-bb33dee1,0.00251011,4828,13961,31211
adeca60c-1c8bb9db-813555c0-f63150fa-143d1c72,0.00030899,12456,28192,9352
9685871e-bf1712f5-5906a0b8-9dbd4841-8e36368,0.000381039,12331,26697,10972
d75eb4ee-d9f3990e-c0009623-cb2a9d25-1be6180,0.000411987,4235,28451,17314
298f1a40-1b8f6eac-6d4d2af9-5183f10b-80dc3119,0.000411987,7447,29146,13407
d8ba4755-9bec606c-ae0ffbd0-99d97cbb-1b107ddc,0.000541923,3707,28286,18007
3400762e-42c6b9a7-f07d14e4-d5abe337-93e61c40,0.00030899,11819,24768,13413
7a066ec4-2164d7eb-aaf8dcda-3e3c1f94-c0d0bd59,0.000536599,30674,6989,12337
a4100778-42e52e7-f32af43d-4e35a8b-91c36522,0.000816118,6129,13798,30073
642e2c37-53bca924-74c781d0-894a763-40b693d2,0.000411987,16006,27728,6266
db14c073-f1a5d836-1b2912ef-92546692-585d6bdf,0.000411987,16706,25709,7585
9b41024e-7bcb4267-3174ff2b-c781a85a-3e690216,0.000411987,4331,30575,15094
2d6e436d-8fc16d23-396595ea-5a7ea676-34df1a2b,0.000381039,11686,20953,17361
edae0795-807d2911-6aae8c15-8eb5fe03-d0b84327,0.000541923,7232,32130,10638
8767fde8-af521866-3a412e1b-c37cecdc-f69d1b2d,0.000796262,861,24364,24775
9f5c6fb1-cba38bce-dadaa35a-46683af3-fb6ff7b6,0.000305868,11640,21578,16782
43122d13-c91a581d-64fc3e6e-98985bf3-da16f046,0.000375509,13142,20045,16813
c19f6e84-6530cdaa-abb76d05-fca32e31-74f8846a,0.000329006,25278,11144,13578
ec726703-5e1f1768-a11712e6-5099ee60-18731651,0.000381039,11444,18967,19589
b78ce3d3-780ab948-3f6def98-27ff86ed-247e16fe,0.000386238,9076,21498,19426
ee60130e-36fc1977-79aa39-ab6549c1-753d56b,0.00347222,1890,23060,25050
20a57913-4c59a16f-a296c0ab-a324b8ba-b2b59673,0.000611735,6043,22994,20963
3247b070-7d338de3-8b43e483-a1e4e50d-e51bbf4,0.000549316,16471,25208,8321
2a5a9dc-e1a0f528-a2ce9c0f-c636a927-fb4bea68,0.000804663,7902,19070,23028
759cb39e-cabbed9a-cd2068f6-7e72cf4f-7f2c2add,0.000541923,1730,35490,12780
eecae6c5-8835a184-5124c8a6-737a2802-eafade27,0.000211224,11457,21011,17532
6e575516-1324c2c4-684d6407-eeac0c22-605ca84e,0.000367041,15112,22119,12769
352cf826-c7394e6f-ec87941b-56c69ced-2b87a87f,0.000609663,4635,24209,21156
f93614a-eee0be8e-8f98a825-7aa88df7-854be7b4,0.000353894,10232,25215,14553
f26bc499-9d4b087d-7c97b777-8e1cf18c-e1137276,0.000611735,6826,22881,20293
