l,p(!0),p(0)
1,3.0517578125e-05,0.999969482421875
2,0.0133638679117185354,0.986636132088281465
3,0.134944944604544784,0.865055055395455216
4,0.379857248881146748,0.620142751118853252
5,0.621193961175527044,0.378806038824472956
6,0.789679841325944487,0.210320158674055513
7,0.889072932981896093,0.110927067018103907
8,0.943027730233504841,0.0569722697664951589
9,0.971131182276367391,0.0288688177236326086
10,0.985470976512837688,0.0145290234871623119
11,0.992712924201339478,0.00728707579866052189
12,0.996351476100281505,0.00364852389971849538
13,0.998174853046053817,0.00182514695394618288
14,0.999087400491342078,0.000912599508657922309
15,0.999543798300901082,0.000456201699098918178
16,0.999771979395047576,0.000228020604952423986
17,0.999886039346477038,0.000113960653522961577
18,0.999943047740171477,5.69522598285232594e-05
19,0.999971539144220932,2.84608557790680069e-05
20,0.999985777734117774,1.42222658822259451e-05
21,0.999992893186524394,7.10681347560561177e-06
22,0.999996448866132764,3.55113386723578508e-06
23,0.999998225624497472,1.77437550252774025e-06
24,0.999999113435042289,8.86564957711382263e-07
25,0.999999557042337903,4.42957662097267103e-07
26,0.999999778690250206,2.21309749794075181e-07
27,0.99999988943298905,1.10567010949691458e-07
28,0.999999944762082883,5.52379171174836002e-08
29,0.999999972404661457,2.75953385431575333e-08
30,0.999999986214552529,1.37854474708317548e-08
31,0.999999993113592502,6.886407497518586e-09
32,0.999999996560056756,3.43994324399164025e-09
33,0.999999998281709678,1.71829032155190048e-09
34,0.999999999141720939,8.58279061103500718e-10
35,0.999999999571306206,4.28693794330380074e-10
36,0.999999999785882295,2.14117704686392352e-10
37,0.999999999893058895,1.06941104734657733e-10
38,0.999999999946589892,5.34101075541117132e-11
39,0.999999999973325951,2.66740487120040171e-11
40,0.999999999986678868,1.3321132120557716e-11
41,0.999999999993347575,6.65242519274147903e-12
42,0.999999999996677954,3.32204560084606304e-12
43,0.999999999998341109,1.65889112342665346e-12
44,0.999999999999171644,8.28355938529978797e-13
45,0.999999999999586379,4.13620960398874971e-13
46,0.999999999999793474,2.0652587712916004e-13
47,0.999999999999896882,1.03118197574553205e-13
48,0.999999999999948515,5.14846954131897849e-14
49,0.999999999999974295,2.57045361558294605e-14
50,0.999999999999987167,1.28331590146246732e-14
51,0.999999999999993593,6.40682168775996708e-15
52,0.999999999999996802,3.1981253582891167e-15
53,0.999999999999998403,1.59702980007114803e-15
54,0.999999999999999203,7.96888596776845759e-16
55,0.999999999999999602,3.97631146759058751e-16
56,0.999999999999999802,1.98408997564847311e-16
57,0.999999999999999901,9.92044987824236557e-17
58,0.99999999999999995,4.96022493912118279e-17
59,0.999999999999999976,2.43945488809238498e-17
60,0.999999999999999988,1.21972744404619249e-17
61,0.999999999999999993,6.5052130349130266e-18
62,0.999999999999999997,3.2526065174565133e-18
63,0.999999999999999998,1.62630325872825665e-18
64,0.999999999999999999,8.13151629364128326e-19
65,1,0
