HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,24,32,0.75,1,23.7812,0.743164
2,268,496,0.540323,1,262.188,0.528604
3,1916,4960,0.38629,1,1844.09,0.371793
4,9945,35960,0.276557,1,9401.38,0.26144
5,40106,201376,0.19916,1,37239.9,0.184927
6,131791,906192,0.145434,1,120251,0.132699
7,364855,3.36586e+06,0.108399,1,327447,0.097285
8,165640,2e+06,0.08282,0,146445,0.0732224
9,130620,2e+06,0.06531,0,113963,0.0569813
10,106183,2e+06,0.0530915,0,91565.2,0.0457826
11,88826,2e+06,0.044413,0,75858.3,0.0379291
12,76587,2e+06,0.0382935,0,64891.6,0.0324458
13,68338,2e+06,0.034169,0,57523.4,0.0287617
14,61995,2e+06,0.0309975,0,51956,0.025978
15,57572,2e+06,0.028786,0,48114.7,0.0240573
16,54763,2e+06,0.0273815,0,45719,0.0228595
