HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,32,32,1,1,25.3854,0.793294
2,481,496,0.969758,1,328.187,0.661668
3,4642,4960,0.935887,1,2875.73,0.579783
4,32677,35960,0.908704,1,18923.2,0.52623
5,178877,201376,0.888274,1,98479.8,0.489034
6,790232,906192,0.872036,1,418545,0.461872
7,2888228,3.36586e+06,0.858096,1,1.48427e+06,0.440979
8,1690700,2e+06,0.84535,0,847743,0.423871
9,1665681,2e+06,0.83284,0,819295,0.409648
10,1639326,2e+06,0.819663,0,792185,0.396092
11,1613272,2e+06,0.806636,0,768085,0.384042
12,1585406,2e+06,0.792703,0,744841,0.372421
13,1557743,2e+06,0.778872,0,723117,0.361559
14,1529906,2e+06,0.764953,0,702762,0.351381
15,1503773,2e+06,0.751887,0,683175,0.341588
16,1478613,2e+06,0.739306,0,665957,0.332979
