HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,171,192,0.890625,1,148.855,0.775288
2,14877,18336,0.811355,1,11111,0.605968
3,871688,1.16128e+06,0.750627,1,554324,0.477339
4,1404123,2e+06,0.702062,0,757373,0.378687
5,1323949,2e+06,0.661975,0,605968,0.302984
6,1260435,2e+06,0.630217,0,489753,0.244877
7,1202973,2e+06,0.601487,0,396746,0.198373
8,1158044,2e+06,0.579022,0,325179,0.16259
9,1116704,2e+06,0.558352,0,267913,0.133956
10,1083561,2e+06,0.54178,0,222253,0.111126
11,1055294,2e+06,0.527647,0,186759,0.0933794
12,1031022,2e+06,0.515511,0,156596,0.0782979
13,1010554,2e+06,0.505277,0,132858,0.0664291
14,992963,2e+06,0.496482,0,113209,0.0566043
15,980321,2e+06,0.49016,0,97161.5,0.0485807
16,968583,2e+06,0.484291,0,83399,0.0416995
17,957611,2e+06,0.478805,0,72986.6,0.0364933
18,949040,2e+06,0.47452,0,63426.7,0.0317134
19,942217,2e+06,0.471108,0,55415.4,0.0277077
20,935779,2e+06,0.46789,0,49065.2,0.0245326
21,930389,2e+06,0.465195,0,43181.2,0.0215906
22,926696,2e+06,0.463348,0,38170.4,0.0190852
23,923745,2e+06,0.461873,0,33811.5,0.0169057
24,919438,2e+06,0.459719,0,30448,0.015224
25,917242,2e+06,0.458621,0,26868.1,0.013434
26,916065,2e+06,0.458033,0,24446.6,0.0122233
27,915058,2e+06,0.457529,0,21786.4,0.0108932
28,914335,2e+06,0.457168,0,19703.4,0.00985172
29,914700,2e+06,0.45735,0,17838.7,0.00891935
30,913359,2e+06,0.45668,0,16042.7,0.00802137
31,912686,2e+06,0.456343,0,14437.1,0.00721853
32,914694,2e+06,0.457347,0,13236.2,0.00661811
33,914415,2e+06,0.457207,0,11939.1,0.00596954
34,915471,2e+06,0.457736,0,10718.3,0.00535915
35,916082,2e+06,0.458041,0,9831.26,0.00491563
36,916605,2e+06,0.458303,0,8982.34,0.00449117
37,917817,2e+06,0.458908,0,8242.14,0.00412107
38,919434,2e+06,0.459717,0,7545.87,0.00377293
39,919839,2e+06,0.459919,0,6847.5,0.00342375
40,920220,2e+06,0.46011,0,6313.56,0.00315678
41,923818,2e+06,0.461909,0,5816.25,0.00290813
42,924937,2e+06,0.462469,0,5293.41,0.0026467
43,924157,2e+06,0.462079,0,4877.85,0.00243893
44,926965,2e+06,0.463483,0,4451.8,0.0022259
45,927889,2e+06,0.463944,0,4079.85,0.00203993
46,928847,2e+06,0.464423,0,3756.07,0.00187804
47,930590,2e+06,0.465295,0,3435.44,0.00171772
48,932005,2e+06,0.466002,0,3176.67,0.00158833
49,931645,2e+06,0.465822,0,2939.28,0.00146964
50,933826,2e+06,0.466913,0,2754.38,0.00137719
51,933791,2e+06,0.466896,0,2448.36,0.00122418
52,936247,2e+06,0.468124,0,2307.68,0.00115384
53,937430,2e+06,0.468715,0,2108.35,0.00105417
54,938280,2e+06,0.46914,0,1916.64,0.000958321
55,939120,2e+06,0.46956,0,1796.43,0.000898216
56,939773,2e+06,0.469886,0,1707.52,0.000853758
57,940764,2e+06,0.470382,0,1541.42,0.00077071
58,941867,2e+06,0.470934,0,1475.41,0.000737706
59,941968,2e+06,0.470984,0,1343.2,0.000671598
60,943165,2e+06,0.471583,0,1263,0.000631499
61,943899,2e+06,0.47195,0,1186.76,0.000593381
62,943187,2e+06,0.471593,0,1090.64,0.000545321
63,943384,2e+06,0.471692,0,1022.86,0.00051143
64,944253,2e+06,0.472127,0,964.44,0.00048222
65,944830,2e+06,0.472415,0,864.716,0.000432358
66,944220,2e+06,0.47211,0,819.114,0.000409557
67,946330,2e+06,0.473165,0,779.053,0.000389526
68,946349,2e+06,0.473174,0,724.784,0.000362392
69,944672,2e+06,0.472336,0,692.681,0.000346341
70,946549,2e+06,0.473274,0,656.618,0.000328309
71,944291,2e+06,0.472145,0,612.002,0.000306001
72,946499,2e+06,0.473249,0,575.282,0.000287641
73,945256,2e+06,0.472628,0,558.014,0.000279007
74,945374,2e+06,0.472687,0,531.79,0.000265895
75,943968,2e+06,0.471984,0,497.513,0.000248757
76,943328,2e+06,0.471664,0,466.636,0.000233318
77,944023,2e+06,0.472011,0,434.728,0.000217364
78,943140,2e+06,0.47157,0,425.5,0.00021275
79,943424,2e+06,0.471712,0,412.504,0.000206252
80,942458,2e+06,0.471229,0,397.044,0.000198522
81,941703,2e+06,0.470851,0,364.709,0.000182355
82,941197,2e+06,0.470598,0,359.885,0.000179942
83,940053,2e+06,0.470027,0,337.893,0.000168947
84,940057,2e+06,0.470029,0,333.426,0.000166713
85,938970,2e+06,0.469485,0,319.879,0.000159939
86,938024,2e+06,0.469012,0,305.259,0.000152629
87,937997,2e+06,0.468998,0,293.62,0.00014681
88,937579,2e+06,0.46879,0,282.979,0.00014149
89,935654,2e+06,0.467827,0,270.58,0.00013529
90,935669,2e+06,0.467834,0,266.552,0.000133276
91,933623,2e+06,0.466811,0,254.413,0.000127206
92,934297,2e+06,0.467149,0,251.143,0.000125572
93,933815,2e+06,0.466907,0,243.973,0.000121986
94,932206,2e+06,0.466103,0,234.636,0.000117318
95,932346,2e+06,0.466173,0,230.709,0.000115355
96,930943,2e+06,0.465471,0,221.92,0.00011096
