HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,32,32,1,1,27.125,0.847656
2,492,496,0.991935,1,362.475,0.730796
3,4867,4960,0.98125,1,3205.82,0.646336
4,34794,35960,0.967575,1,21019.1,0.584515
5,191388,201376,0.950401,1,108307,0.537833
6,843119,906192,0.930398,1,454205,0.501224
7,3057716,3.36586e+06,0.908451,1,1.58651e+06,0.471354
8,1770997,2e+06,0.885498,0,892472,0.446236
9,1724633,2e+06,0.862317,0,849140,0.42457
10,1678923,2e+06,0.839461,0,811018,0.405509
11,1634642,2e+06,0.817321,0,776852,0.388426
12,1593045,2e+06,0.796523,0,747238,0.373619
13,1552886,2e+06,0.776443,0,719935,0.359967
14,1518860,2e+06,0.75943,0,696541,0.348271
15,1487081,2e+06,0.743541,0,675285,0.337642
16,1461793,2e+06,0.730896,0,657936,0.328968
