k,m,h(m)
1,1,0.9875
1,2,0.975
1,3,0.9625
1,4,0.95
1,5,0.9375
1,6,0.925
1,7,0.9125
1,8,0.9
1,9,0.8875
1,10,0.875
1,11,0.8625
1,12,0.85
1,13,0.8375
1,14,0.825
1,15,0.8125
1,16,0.8
1,17,0.7875
1,18,0.775
1,19,0.7625
1,20,0.75
1,21,0.7375
1,22,0.725
1,23,0.7125
1,24,0.7
1,25,0.6875
1,26,0.675
1,27,0.6625
1,28,0.65
1,29,0.6375
1,30,0.625
1,31,0.6125
1,32,0.6
1,33,0.5875
1,34,0.575
1,35,0.5625
1,36,0.55
1,37,0.5375
1,38,0.525
1,39,0.5125
1,40,0.5
2,1,0.975
2,2,0.950316
2,3,0.925949
2,4,0.901899
2,5,0.878165
2,6,0.854747
2,7,0.831646
2,8,0.808861
2,9,0.786392
2,10,0.764241
2,11,0.742405
2,12,0.720886
2,13,0.699684
2,14,0.678797
2,15,0.658228
2,16,0.637975
2,17,0.618038
2,18,0.598418
2,19,0.579114
2,20,0.560127
2,21,0.541456
2,22,0.523101
2,23,0.505063
2,24,0.487342
2,25,0.469937
2,26,0.452848
2,27,0.436076
2,28,0.41962
2,29,0.403481
2,30,0.387658
2,31,0.372152
2,32,0.356962
2,33,0.342089
2,34,0.327532
2,35,0.313291
2,36,0.299367
2,37,0.285759
2,38,0.272468
2,39,0.259494
2,40,0.246835
3,1,0.9625
3,2,0.925949
3,3,0.890336
3,4,0.855648
3,5,0.821872
3,6,0.788997
3,7,0.757011
3,8,0.725901
3,9,0.695655
3,10,0.666261
3,11,0.637707
3,12,0.609981
3,13,0.58307
3,14,0.556962
3,15,0.531646
3,16,0.507108
3,17,0.483337
3,18,0.460321
3,19,0.438048
3,20,0.416504
3,21,0.395679
3,22,0.37556
3,23,0.356134
3,24,0.33739
3,25,0.319316
3,26,0.301899
3,27,0.285127
3,28,0.268987
3,29,0.253469
3,30,0.238559
3,31,0.224245
3,32,0.210516
3,33,0.197359
3,34,0.184761
3,35,0.172712
3,36,0.161198
3,37,0.150207
3,38,0.139727
3,39,0.129747
3,40,0.120253
4,1,0.95
4,2,0.901899
4,3,0.855648
4,4,0.811198
4,5,0.768504
4,6,0.727517
4,7,0.688192
4,8,0.650482
4,9,0.614345
4,10,0.579734
4,11,0.546606
4,12,0.514919
4,13,0.484629
4,14,0.455696
4,15,0.428078
4,16,0.401735
4,17,0.376627
4,18,0.352714
4,19,0.329958
4,20,0.308321
4,21,0.287767
4,22,0.268257
4,23,0.249757
4,24,0.23223
4,25,0.215642
4,26,0.199959
4,27,0.185147
4,28,0.171174
4,29,0.158007
4,30,0.145614
4,31,0.133965
4,32,0.123029
4,33,0.112776
4,34,0.103178
4,35,0.0942064
4,36,0.0858325
4,37,0.0780296
4,38,0.070771
4,39,0.0640309
4,40,0.057784
5,1,0.9375
5,2,0.878165
5,3,0.821872
5,4,0.768504
5,5,0.717944
5,6,0.670081
5,7,0.624805
5,8,0.582011
5,9,0.541593
5,10,0.503453
5,11,0.467492
5,12,0.433616
5,13,0.401732
5,14,0.371752
5,15,0.343589
5,16,0.317159
5,17,0.292381
5,18,0.269176
5,19,0.247469
5,20,0.227184
5,21,0.208252
5,22,0.190604
5,23,0.174172
5,24,0.158894
5,25,0.144707
5,26,0.131552
5,27,0.119371
5,28,0.10811
5,29,0.0977146
5,30,0.0881347
5,31,0.0793212
5,32,0.0712272
5,33,0.0638077
5,34,0.0570197
5,35,0.0508219
5,36,0.045175
5,37,0.0400415
5,38,0.0353855
5,39,0.0311729
5,40,0.0273714
6,1,0.925
6,2,0.854747
6,3,0.788997
6,4,0.727517
6,5,0.670081
6,6,0.616475
6,7,0.56649
6,8,0.519929
6,9,0.476602
6,10,0.436326
6,11,0.398926
6,12,0.364237
6,13,0.332099
6,14,0.302358
6,15,0.274871
6,16,0.249499
6,17,0.226108
6,18,0.204574
6,19,0.184776
6,20,0.166602
6,21,0.149942
6,22,0.134693
6,23,0.120759
6,24,0.108048
6,25,0.0964714
6,26,0.0859472
6,27,0.0763976
6,28,0.0677488
6,29,0.0599316
6,30,0.0528808
6,31,0.0465351
6,32,0.040837
6,33,0.0357323
6,34,0.0311708
6,35,0.027105
6,36,0.023491
6,37,0.0202877
6,38,0.0174568
6,39,0.014963
6,40,0.0127733
7,1,0.9125
7,2,0.831646
7,3,0.757011
7,4,0.688192
7,5,0.624805
7,6,0.56649
7,7,0.512903
7,8,0.463721
7,9,0.418637
7,10,0.377363
7,11,0.339627
7,12,0.305172
7,13,0.273757
7,14,0.245155
7,15,0.219154
7,16,0.195553
7,17,0.174164
7,18,0.154813
7,19,0.137334
7,20,0.121574
7,21,0.107391
7,22,0.0946493
7,23,0.0832261
7,24,0.0730054
7,25,0.0638797
7,26,0.0557496
7,27,0.0485228
7,28,0.0421141
7,29,0.0364449
7,30,0.0314427
7,31,0.0270407
7,32,0.0231777
7,33,0.0197976
7,34,0.0168491
7,35,0.0142851
7,36,0.0120629
7,37,0.0101438
7,38,0.00849252
7,39,0.0070771
