HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,138,160,0.8625,1,130.511,0.815693
2,9548,12720,0.750629,1,8525.79,0.670266
3,441706,669920,0.659341,1,371282,0.554219
4,584288,1e+06,0.584288,0,460461,0.460461
5,523219,1e+06,0.523219,0,384189,0.384189
6,474069,1e+06,0.474069,0,323139,0.323139
7,433134,1e+06,0.433134,0,271395,0.271395
8,400892,1e+06,0.400892,0,229194,0.229194
9,374366,1e+06,0.374366,0,193630,0.19363
10,352771,1e+06,0.352771,0,164372,0.164372
11,336945,1e+06,0.336945,0,139530,0.13953
12,323903,1e+06,0.323903,0,118874,0.118874
13,314948,1e+06,0.314948,0,101438,0.101438
14,308294,1e+06,0.308294,0,86823,0.086823
15,303108,1e+06,0.303108,0,74003.2,0.0740032
16,302257,1e+06,0.302257,0,63940,0.06394
17,300369,1e+06,0.300369,0,54656.7,0.0546567
18,300346,1e+06,0.300346,0,47098.2,0.0470982
19,303173,1e+06,0.303173,0,41064,0.041064
20,304046,1e+06,0.304046,0,35139.9,0.0351399
21,307245,1e+06,0.307245,0,30769.2,0.0307692
22,311268,1e+06,0.311268,0,26635.7,0.0266357
23,314391,1e+06,0.314391,0,23016.9,0.0230169
24,318818,1e+06,0.318818,0,20283.2,0.0202832
25,323862,1e+06,0.323862,0,17756.2,0.0177562
26,327418,1e+06,0.327418,0,15596.3,0.0155963
27,331874,1e+06,0.331874,0,13762.5,0.0137625
28,336355,1e+06,0.336355,0,12080.1,0.0120801
29,341183,1e+06,0.341183,0,10637.6,0.0106376
30,345287,1e+06,0.345287,0,9447.78,0.00944778
31,350407,1e+06,0.350407,0,8442.84,0.00844284
32,354323,1e+06,0.354323,0,7533.05,0.00753305
33,357413,1e+06,0.357413,0,6721.09,0.00672109
34,360758,1e+06,0.360758,0,6024.68,0.00602468
35,364333,1e+06,0.364333,0,5430.68,0.00543068
36,368124,1e+06,0.368124,0,4951.94,0.00495194
37,371423,1e+06,0.371423,0,4513.2,0.0045132
38,374212,1e+06,0.374212,0,4132.88,0.00413288
39,376029,1e+06,0.376029,0,3714.74,0.00371474
40,380289,1e+06,0.380289,0,3486.14,0.00348614
41,381834,1e+06,0.381834,0,3089.71,0.00308971
42,384518,1e+06,0.384518,0,2844.54,0.00284454
43,387458,1e+06,0.387458,0,2629.4,0.0026294
44,388716,1e+06,0.388716,0,2513.23,0.00251323
45,390788,1e+06,0.390788,0,2245.44,0.00224544
46,392812,1e+06,0.392812,0,2160.41,0.00216041
47,394142,1e+06,0.394142,0,2046.99,0.00204699
48,394369,1e+06,0.394369,0,1892.51,0.00189251
49,395552,1e+06,0.395552,0,1749.72,0.00174972
50,397318,1e+06,0.397318,0,1627.67,0.00162767
51,397559,1e+06,0.397559,0,1565.68,0.00156568
52,399398,1e+06,0.399398,0,1429.22,0.00142922
53,401258,1e+06,0.401258,0,1393.49,0.00139349
