HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,23,32,0.71875,1,22.4375,0.701172
2,235,496,0.47379,1,224.812,0.453251
3,1557,4960,0.313911,1,1462.06,0.294771
4,7676,35960,0.213459,1,7084.66,0.197015
5,30187,201376,0.149904,1,27415.4,0.136141
6,99111,906192,0.109371,1,88679.2,0.0978592
7,279462,3.36586e+06,0.0830285,1,246786,0.0733205
8,131062,2e+06,0.065531,0,114454,0.0572272
9,108733,2e+06,0.0543665,0,93991.3,0.0469957
10,93035,2e+06,0.0465175,0,79830.3,0.0399152
11,82107,2e+06,0.0410535,0,69951.2,0.0349756
12,75075,2e+06,0.0375375,0,63609.8,0.0318049
13,69768,2e+06,0.034884,0,58870.3,0.0294352
14,64894,2e+06,0.032447,0,54522.7,0.0272613
15,61240,2e+06,0.03062,0,51315.9,0.025658
16,57698,2e+06,0.028849,0,48284.1,0.024142
