HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,175,192,0.911458,1,174.773,0.910278
2,15228,18336,0.830497,1,15187.4,0.828282
3,878637,1.16128e+06,0.756611,1,875021,0.753497
4,1378990,2e+06,0.689495,0,1.37123e+06,0.685615
5,1255104,2e+06,0.627552,0,1.24608e+06,0.623042
6,1144556,2e+06,0.572278,0,1.13441e+06,0.567205
7,1043789,2e+06,0.521895,0,1.03281e+06,0.516407
8,950630,2e+06,0.475315,0,938957,0.469478
9,868952,2e+06,0.434476,0,856718,0.428359
10,794584,2e+06,0.397292,0,781945,0.390972
11,725808,2e+06,0.362904,0,712905,0.356452
12,665764,2e+06,0.332882,0,652677,0.326339
13,609939,2e+06,0.30497,0,596744,0.298372
14,559599,2e+06,0.279799,0,546365,0.273182
15,516352,2e+06,0.258176,0,503077,0.251539
16,474627,2e+06,0.237314,0,461486,0.230743
17,438025,2e+06,0.219012,0,425007,0.212504
18,404744,2e+06,0.202372,0,391799,0.1959
19,375176,2e+06,0.187588,0,362466,0.181233
20,348763,2e+06,0.174381,0,336160,0.16808
21,323633,2e+06,0.161817,0,311244,0.155622
22,302825,2e+06,0.151413,0,290611,0.145305
23,281857,2e+06,0.140929,0,269909,0.134955
24,264004,2e+06,0.132002,0,252247,0.126124
25,247519,2e+06,0.123759,0,235991,0.117995
26,233030,2e+06,0.116515,0,221679,0.110839
27,219169,2e+06,0.109585,0,208082,0.104041
28,206563,2e+06,0.103281,0,195678,0.097839
29,196613,2e+06,0.0983065,0,185865,0.0929323
30,185143,2e+06,0.0925715,0,174690,0.087345
31,177297,2e+06,0.0886485,0,166905,0.0834525
32,169443,2e+06,0.0847215,0,159212,0.0796062
33,160705,2e+06,0.0803525,0,150696,0.0753478
34,154147,2e+06,0.0770735,0,144292,0.0721458
35,148172,2e+06,0.074086,0,138454,0.069227
36,142955,2e+06,0.0714775,0,133338,0.0666688
37,136391,2e+06,0.0681955,0,126979,0.0634893
38,132361,2e+06,0.0661805,0,123031,0.0615155
39,128652,2e+06,0.064326,0,119373,0.0596866
40,123727,2e+06,0.0618635,0,114634,0.057317
41,120147,2e+06,0.0600735,0,111127,0.0555637
42,116822,2e+06,0.058411,0,107895,0.0539474
43,113771,2e+06,0.0568855,0,104901,0.0524505
44,112414,2e+06,0.056207,0,103516,0.0517578
45,108781,2e+06,0.0543905,0,100041,0.0500205
46,106882,2e+06,0.053441,0,98176.4,0.0490882
47,104660,2e+06,0.05233,0,96015.9,0.048008
48,102101,2e+06,0.0510505,0,93553,0.0467765
49,100658,2e+06,0.050329,0,92146.7,0.0460734
50,99235,2e+06,0.0496175,0,90707.2,0.0453536
51,97746,2e+06,0.048873,0,89263.8,0.0446319
52,95794,2e+06,0.047897,0,87388.2,0.0436941
53,95621,2e+06,0.0478105,0,87167.5,0.0435837
54,93533,2e+06,0.0467665,0,85171.2,0.0425856
55,92566,2e+06,0.046283,0,84221.2,0.0421106
56,91876,2e+06,0.045938,0,83530.5,0.0417652
57,90643,2e+06,0.0453215,0,82344.6,0.0411723
58,89996,2e+06,0.044998,0,81671.4,0.0408357
59,89312,2e+06,0.044656,0,81015.2,0.0405076
60,88253,2e+06,0.0441265,0,79983,0.0399915
61,87706,2e+06,0.043853,0,79458.1,0.0397291
62,86741,2e+06,0.0433705,0,78528.7,0.0392643
63,86854,2e+06,0.043427,0,78601.8,0.0393009
64,85997,2e+06,0.0429985,0,77759.3,0.0388797
65,85351,2e+06,0.0426755,0,77155,0.0385775
66,84609,2e+06,0.0423045,0,76453.7,0.0382268
67,84142,2e+06,0.042071,0,76000.9,0.0380004
68,83876,2e+06,0.041938,0,75697.3,0.0378487
69,83024,2e+06,0.041512,0,74913.2,0.0374566
70,83427,2e+06,0.0417135,0,75235.8,0.0376179
71,82408,2e+06,0.041204,0,74280,0.03714
72,82068,2e+06,0.041034,0,73976.1,0.0369881
73,81301,2e+06,0.0406505,0,73248.5,0.0366243
74,81218,2e+06,0.040609,0,73145.5,0.0365727
75,80648,2e+06,0.040324,0,72637.9,0.0363189
76,80684,2e+06,0.040342,0,72645.3,0.0363226
77,80145,2e+06,0.0400725,0,72097.3,0.0360487
78,79947,2e+06,0.0399735,0,71917,0.0359585
79,79568,2e+06,0.039784,0,71579.7,0.0357898
80,79095,2e+06,0.0395475,0,71128.1,0.035564
81,78854,2e+06,0.039427,0,70895.4,0.0354477
82,78322,2e+06,0.039161,0,70394.5,0.0351972
83,78354,2e+06,0.039177,0,70404.9,0.0352024
84,78009,2e+06,0.0390045,0,70094.1,0.0350471
85,77491,2e+06,0.0387455,0,69624,0.034812
86,76210,2e+06,0.038105,0,68455.3,0.0342277
87,76848,2e+06,0.038424,0,69016.1,0.034508
88,76082,2e+06,0.038041,0,68338,0.034169
89,76434,2e+06,0.038217,0,68639.8,0.0343199
90,75491,2e+06,0.0377455,0,67763.7,0.0338818
91,74858,2e+06,0.037429,0,67194.4,0.0335972
92,74559,2e+06,0.0372795,0,66926.5,0.0334632
93,74149,2e+06,0.0370745,0,66555.6,0.0332778
94,73569,2e+06,0.0367845,0,66023.1,0.0330116
95,73710,2e+06,0.036855,0,66151.6,0.0330758
96,72864,2e+06,0.036432,0,65389.8,0.0326949
