HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,150,160,0.9375,1,136.448,0.852797
2,11225,12720,0.882469,1,9188.62,0.722376
3,557626,669920,0.832377,1,408024,0.609063
4,785848,1e+06,0.785848,0,512210,0.51221
5,742156,1e+06,0.742156,0,430039,0.430039
6,702790,1e+06,0.70279,0,362425,0.362425
7,665623,1e+06,0.665623,0,305482,0.305482
8,631691,1e+06,0.631691,0,258328,0.258328
9,600947,1e+06,0.600947,0,218851,0.218851
10,573929,1e+06,0.573929,0,187676,0.187676
11,547161,1e+06,0.547161,0,159607,0.159607
12,524293,1e+06,0.524293,0,136217,0.136217
13,503772,1e+06,0.503772,0,117531,0.117531
14,486031,1e+06,0.486031,0,102242,0.102242
15,469555,1e+06,0.469555,0,88507.3,0.0885073
16,454663,1e+06,0.454663,0,77306.4,0.0773064
17,440887,1e+06,0.440887,0,67067.4,0.0670674
18,428630,1e+06,0.42863,0,58918.6,0.0589186
19,419506,1e+06,0.419506,0,52320.3,0.0523203
20,409334,1e+06,0.409334,0,45963.9,0.0459639
21,400999,1e+06,0.400999,0,40883.3,0.0408833
22,393649,1e+06,0.393649,0,36514.7,0.0365147
23,387431,1e+06,0.387431,0,32409.7,0.0324097
24,381372,1e+06,0.381372,0,28998.8,0.0289988
25,376474,1e+06,0.376474,0,26105.5,0.0261055
26,371536,1e+06,0.371536,0,23340.8,0.0233408
27,368813,1e+06,0.368813,0,21070.8,0.0210708
28,364637,1e+06,0.364637,0,18966.4,0.0189664
29,361549,1e+06,0.361549,0,17244.4,0.0172444
30,358890,1e+06,0.35889,0,15369.4,0.0153694
31,356777,1e+06,0.356777,0,13846.8,0.0138468
32,354276,1e+06,0.354276,0,12619.7,0.0126197
33,353086,1e+06,0.353086,0,11544.7,0.0115447
34,350999,1e+06,0.350999,0,10322.5,0.0103225
35,351236,1e+06,0.351236,0,9607.66,0.00960766
36,349922,1e+06,0.349922,0,8533.31,0.00853331
37,349003,1e+06,0.349003,0,7809.04,0.00780904
38,348764,1e+06,0.348764,0,7082.43,0.00708243
39,347868,1e+06,0.347868,0,6541.38,0.00654138
40,347014,1e+06,0.347014,0,6009.95,0.00600995
41,347741,1e+06,0.347741,0,5320.34,0.00532034
42,348139,1e+06,0.348139,0,4977.06,0.00497706
43,348185,1e+06,0.348185,0,4521.16,0.00452116
44,349070,1e+06,0.34907,0,4153.36,0.00415336
45,348142,1e+06,0.348142,0,3868.84,0.00386884
46,348754,1e+06,0.348754,0,3548.07,0.00354807
47,349223,1e+06,0.349223,0,3293.53,0.00329353
48,350306,1e+06,0.350306,0,2950.21,0.00295021
49,351673,1e+06,0.351673,0,2749.32,0.00274932
50,352436,1e+06,0.352436,0,2545.15,0.00254515
51,353054,1e+06,0.353054,0,2356.93,0.00235693
52,353395,1e+06,0.353395,0,2192.23,0.00219223
53,353118,1e+06,0.353118,0,2003.46,0.00200346
