HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,179,192,0.932292,1,148.768,0.774833
2,15817,18336,0.86262,1,11044.5,0.602338
3,928458,1.16128e+06,0.799513,1,547259,0.471255
4,1491635,2e+06,0.745818,0,744671,0.372335
5,1402127,2e+06,0.701063,0,595317,0.297659
6,1328700,2e+06,0.66435,0,480249,0.240125
7,1267275,2e+06,0.633637,0,393811,0.196906
8,1218860,2e+06,0.60943,0,326986,0.163493
9,1176870,2e+06,0.588435,0,274619,0.13731
10,1140626,2e+06,0.570313,0,233857,0.116929
11,1110009,2e+06,0.555005,0,200322,0.100161
12,1084590,2e+06,0.542295,0,174329,0.0871645
13,1061291,2e+06,0.530645,0,151695,0.0758477
14,1042796,2e+06,0.521398,0,133814,0.0669068
15,1025044,2e+06,0.512522,0,117915,0.0589577
16,1009080,2e+06,0.50454,0,105211,0.0526053
17,994963,2e+06,0.497482,0,93126,0.046563
18,983560,2e+06,0.49178,0,83525.7,0.0417629
19,971034,2e+06,0.485517,0,74818.2,0.0374091
20,962249,2e+06,0.481125,0,66815.6,0.0334078
21,954116,2e+06,0.477058,0,60169.6,0.0300848
22,946142,2e+06,0.473071,0,54175.2,0.0270876
23,937995,2e+06,0.468998,0,48606.7,0.0243033
24,933463,2e+06,0.466732,0,43209.2,0.0216046
25,928398,2e+06,0.464199,0,39238.5,0.0196193
26,924286,2e+06,0.462143,0,34944.1,0.0174721
27,919570,2e+06,0.459785,0,31094.5,0.0155472
28,917070,2e+06,0.458535,0,28173.1,0.0140865
29,914337,2e+06,0.457168,0,25474.4,0.0127372
30,911827,2e+06,0.455914,0,22613.2,0.0113066
31,911948,2e+06,0.455974,0,20328.3,0.0101642
32,910770,2e+06,0.455385,0,18486.3,0.00924316
33,909326,2e+06,0.454663,0,16641.4,0.00832071
34,910072,2e+06,0.455036,0,14683.7,0.00734187
35,907660,2e+06,0.45383,0,13388.9,0.00669445
36,907331,2e+06,0.453665,0,12168.7,0.00608434
37,908097,2e+06,0.454049,0,10953.4,0.0054767
38,908932,2e+06,0.454466,0,9663.28,0.00483164
39,908037,2e+06,0.454018,0,8671.82,0.00433591
40,908835,2e+06,0.454417,0,7904.28,0.00395214
41,909799,2e+06,0.4549,0,7217.76,0.00360888
42,911563,2e+06,0.455782,0,6315.73,0.00315786
43,911726,2e+06,0.455863,0,5775.54,0.00288777
44,913667,2e+06,0.456834,0,5236.19,0.00261809
45,914172,2e+06,0.457086,0,4691.57,0.00234578
46,916136,2e+06,0.458068,0,4199.97,0.00209998
47,915756,2e+06,0.457878,0,3926.03,0.00196302
48,917494,2e+06,0.458747,0,3485.26,0.00174263
49,917523,2e+06,0.458761,0,3107.24,0.00155362
50,918633,2e+06,0.459317,0,2857.7,0.00142885
51,920258,2e+06,0.460129,0,2601.43,0.00130071
52,921182,2e+06,0.460591,0,2432.82,0.00121641
53,923759,2e+06,0.461879,0,2219.17,0.00110958
54,922373,2e+06,0.461186,0,1986.55,0.000993276
55,924208,2e+06,0.462104,0,1820.33,0.000910163
56,925217,2e+06,0.462608,0,1631.75,0.000815875
57,926235,2e+06,0.463118,0,1549.97,0.000774984
58,927203,2e+06,0.463601,0,1410.36,0.00070518
59,927437,2e+06,0.463718,0,1306.75,0.000653373
60,928724,2e+06,0.464362,0,1203.62,0.000601811
61,928351,2e+06,0.464176,0,1113.03,0.000556517
62,929183,2e+06,0.464591,0,1024.42,0.00051221
63,930190,2e+06,0.465095,0,973.036,0.000486518
64,929025,2e+06,0.464512,0,897.914,0.000448957
65,929795,2e+06,0.464898,0,816.69,0.000408345
66,931018,2e+06,0.465509,0,773.802,0.000386901
67,931804,2e+06,0.465902,0,724.398,0.000362199
68,930824,2e+06,0.465412,0,693.859,0.00034693
69,932407,2e+06,0.466203,0,637.039,0.00031852
70,932311,2e+06,0.466156,0,585.771,0.000292886
71,930614,2e+06,0.465307,0,572.746,0.000286373
72,932508,2e+06,0.466254,0,544.872,0.000272436
73,931491,2e+06,0.465745,0,499.707,0.000249854
74,931468,2e+06,0.465734,0,495.208,0.000247604
75,932510,2e+06,0.466255,0,452.29,0.000226145
76,932942,2e+06,0.466471,0,423.486,0.000211743
77,931763,2e+06,0.465882,0,423.484,0.000211742
78,931511,2e+06,0.465755,0,398.646,0.000199323
79,932021,2e+06,0.46601,0,384.91,0.000192455
80,930603,2e+06,0.465301,0,371.151,0.000185576
81,930804,2e+06,0.465402,0,349.28,0.00017464
82,929704,2e+06,0.464852,0,335.553,0.000167776
83,930217,2e+06,0.465108,0,319.007,0.000159504
84,929102,2e+06,0.464551,0,306.683,0.000153342
85,929399,2e+06,0.464699,0,299.248,0.000149624
86,928256,2e+06,0.464128,0,293.967,0.000146984
87,928207,2e+06,0.464104,0,280.088,0.000140044
88,926661,2e+06,0.46333,0,272.852,0.000136426
89,927488,2e+06,0.463744,0,265.15,0.000132575
90,928087,2e+06,0.464043,0,257.352,0.000128676
91,925628,2e+06,0.462814,0,251.497,0.000125748
92,927071,2e+06,0.463535,0,242.956,0.000121478
93,925292,2e+06,0.462646,0,239.895,0.000119948
94,923724,2e+06,0.461862,0,228.397,0.000114198
95,924911,2e+06,0.462456,0,222.759,0.00011138
96,924241,2e+06,0.46212,0,226.028,0.000113014
