l,p(!0),p(0)
1,0.0078125,0.9921875
2,0.134473425196850394,0.865526574803149606
3,0.398868110236220472,0.601131889763779528
4,0.648130577427821522,0.351869422572178478
5,0.813681525696384726,0.186318474303615274
6,0.906691349114405546,0.093308650885594454
7,0.954740074082973702,0.0452599259170262975
8,0.97848313169220221,0.02151686830779779
9,0.989917721692267597,0.010082278307732403
10,0.995331822878919104,0.00466817712108089599
11,0.997862096493908486,0.0021379035060915141
12,0.99903124347689635,0.000968756523103649677
13,0.999565674704553659,0.000434325295446340515
14,0.999807376585357556,0.000192623414642443863
15,0.999915514448209658,8.44855517903423964e-05
16,0.999963364417683722,3.66355823162778024e-05
17,0.999984298997513295,1.57010024867049788e-05
18,0.999993351822206621,6.64817779337913486e-06
19,0.999997219852163322,2.78014783667836175e-06
20,0.999998852232446947,1.14776755305302488e-06
21,0.999999532390985163,4.67609014837130563e-07
22,0.999999812082357207,1.87917642793420606e-07
23,0.999999925542065926,7.44579340736630305e-08
24,0.999999970925949539,2.90740504608273838e-08
25,0.999999988817672898,1.1182327101560887e-08
26,0.999999995765914981,4.23408501911814311e-09
27,0.999999998422595777,1.5774042227034886e-09
28,0.999999999422139047,5.77860952881772971e-10
29,0.999999999791970057,2.08029942935523265e-10
30,0.99999999992645406,7.35459395749711586e-11
31,0.999999999974484062,2.55159379953032173e-11
32,0.99999999999131932,8.68068014388614917e-12
33,0.99999999999710644,2.89356017445230318e-12
34,0.999999999999055786,9.44214324782866044e-13
35,0.999999999999698655,3.01344940754205703e-13
36,0.999999999999906032,9.39679649196445421e-14
37,0.999999999999971401,2.85988138552795146e-14
38,0.999999999999991515,8.48534567263192763e-15
39,0.999999999999997549,2.45138111198972553e-15
40,0.999999999999999311,6.88739430071416692e-16
41,0.999999999999999812,1.87838026383113643e-16
42,0.99999999999999995,4.97106696084603783e-17
43,0.999999999999999987,1.25225350922075762e-17
44,0.999999999999999997,3.03576608295941242e-18
45,0.999999999999999999,7.58941520739853104e-19
46,1,0
