l,p(!0),p(0)
1,0.001953125,0.998046875
2,0.0752278008806262231,0.924772199119373777
3,0.301985006331299643,0.698014993668700357
4,0.562472217874958472,0.437527782125041528
5,0.755223010125045182,0.244776989874954818
6,0.871260669679211748,0.128739330320788252
7,0.934456934867964564,0.0655430651320354356
8,0.967202781445875396,0.0327972185541246037
9,0.983745047034372535,0.0162549529656274648
10,0.991989957593382346,0.0080100424066176543
11,0.996068107411619801,0.00393189258838019936
12,0.998075649307120159,0.00192435069287984114
13,0.999060549527131662,0.000939450472868338005
14,0.999542426679097279,0.000457573320902720918
15,0.999777625366259493,0.000222374633740506696
16,0.999892163912056757,0.000107836087943242792
17,0.999947820216824026,5.21797831759740136e-05
18,0.999974805891623943,2.51941083760568569e-05
19,0.999987861895371986,1.21381046280142854e-05
20,0.999994164834558946,5.83516544105434389e-06
21,0.99999720101561212,2.79898438788049077e-06
22,0.99999866036331777,1.3396366822298277e-06
23,0.999999360255010976,6.39744989023574226e-07
24,0.999999695172606065,3.04827393934577803e-07
25,0.999999855082052817,1.44917947183099798e-07
26,0.999999931260685004,6.87393149958201791e-08
27,0.999999967469048196,3.25309518039692061e-08
28,0.999999984640024763,1.53599752368669025e-08
29,0.999999992764309174,7.23569082558203625e-09
30,0.999999996599375117,3.40062488314151617e-09
31,0.999999998405516133,1.59448386682610813e-09
32,0.999999999254139563,7.45860436726555193e-10
33,0.999999999651931796,3.48068203924987996e-10
34,0.999999999837955721,1.62044278765715449e-10
35,0.999999999924740942,7.52590582626770643e-11
36,0.999999999965131548,3.48684523637267374e-11
37,0.999999999983884329,1.61156712974452887e-11
38,0.999999999992569827,7.43017268805407083e-12
39,0.999999999996582748,3.4172523209578809e-12
40,0.999999999998432254,1.56774593307318355e-12
41,0.999999999999282557,7.17443194696992803e-13
42,0.999999999999672505,3.27495355053469828e-13
43,0.999999999999850885,1.49114607380512743e-13
44,0.999999999999932278,6.77217071483326993e-14
45,0.999999999999969323,3.0677120999716978e-14
46,0.99999999999998614,1.3860494783163313e-14
47,0.999999999999993754,6.24598029547174249e-15
48,0.999999999999997193,2.80732468521671663e-15
49,0.999999999999998742,1.25827083127805217e-15
50,0.999999999999999437,5.62538297194103976e-16
51,0.999999999999999749,2.50775962495897176e-16
52,0.999999999999999888,1.11727033874631232e-16
53,0.999999999999999951,4.92769887394661765e-17
54,0.999999999999999978,2.19550939928314648e-17
55,0.99999999999999999,9.75781955236953991e-18
56,0.999999999999999996,4.39101879856629296e-18
57,0.999999999999999998,1.95156391047390798e-18
58,0.999999999999999999,9.75781955236953991e-19
59,1,4.87890977618476995e-19
60,1,0
