HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,32,32,1,1,26.2292,0.819661
2,475,496,0.957661,1,337.185,0.679808
3,4538,4960,0.914919,1,2892.79,0.583225
4,31718,35960,0.882036,1,18614.5,0.517643
5,172562,201376,0.856914,1,95063,0.472067
6,758561,906192,0.837086,1,398643,0.43991
7,2764080,3.36586e+06,0.821212,1,1.40312e+06,0.416868
8,1617330,2e+06,0.808665,0,799998,0.399999
9,1598332,2e+06,0.799166,0,775243,0.387622
10,1581719,2e+06,0.79086,0,755130,0.377565
11,1569419,2e+06,0.784709,0,739759,0.36988
12,1555355,2e+06,0.777678,0,725596,0.362798
13,1542359,2e+06,0.77118,0,713264,0.356632
14,1527656,2e+06,0.763828,0,700810,0.350405
15,1511166,2e+06,0.755583,0,687840,0.34392
16,1494065,2e+06,0.747032,0,675677,0.337838
