l,p(!0),p(0)
1,0.000244140625,0.999755859375
2,0.0316840277777777778,0.968315972222222222
3,0.201541627047130528,0.798458372952869472
4,0.461332042310957441,0.538667957689042559
5,0.683731451531924212,0.316268548468075788
6,0.828332501551063163,0.171667498448936837
7,0.910597353714782295,0.0894026462852177045
8,0.954419107538396559,0.0455808924616034414
9,0.97701167721759831,0.0229883227824016902
10,0.988470292290780139,0.0115297077092198615
11,0.994234065298260692,0.00576593470173930844
12,0.997121016486277993,0.00287898351372200677
13,0.998563799363840426,0.00143620063615957418
14,0.999283953309193576,0.000716046690806423968
15,0.999643146900277007,0.000356853099722992634
16,0.999822214996203625,0.00017778500379637453
17,0.999911452566094308,8.85474339056919395e-05
18,0.999955909929718195,4.40900702818052166e-05
19,0.999978052054642367,2.19479453576331297e-05
20,0.999989077116053883,1.0922883946117381e-05
21,0.999994565342967397,5.43465703260309066e-06
22,0.999997296671665262,2.70332833473782043e-06
23,0.999998655634156832,1.34436584316762874e-06
24,0.99999933161266167,6.68387338330030979e-07
25,0.99999966777599004,3.32224009960073018e-07
26,0.999999834908076584,1.65091923416465711e-07
27,0.999999917981356033,8.20186439670026607e-08
28,0.999999959262796178,4.07372038217302182e-08
29,0.999999979771594781,2.02284052185563654e-08
30,0.999999989957917308,1.00420826922519545e-08
31,0.999999995016005186,4.98399481445787815e-09
32,0.999999997527006752,2.4729932475192791e-09
33,0.99999999877323957,1.22676043043563887e-09
34,0.999999999391601706,6.08398293929553885e-10
35,0.999999999698347079,3.01652920741204977e-10
36,0.999999999850473447,1.49526552598033824e-10
37,0.999999999925899649,7.41003508553106371e-11
38,0.999999999963287557,3.6712442981479132e-11
39,0.99999999998181567,1.81843296930689347e-11
40,0.999999999990995238,9.00476177997933114e-12
41,0.999999999995542021,4.45797890789856321e-12
42,0.999999999997793548,2.20645181812917368e-12
43,0.999999999998908203,1.0917965750228964e-12
44,0.999999999999459894,5.40106371085813386e-13
45,0.999999999999732879,2.67120960767419646e-13
46,0.999999999999867923,1.32076641290446162e-13
47,0.999999999999934712,6.52882695822976089e-14
48,0.999999999999967735,3.22652061318651207e-14
49,0.999999999999984059,1.59410245420543717e-14
50,0.999999999999992126,7.8739098574587274e-15
51,0.999999999999996112,3.888165830967516e-15
52,0.99999999999999808,1.91968836660283415e-15
53,0.999999999999999052,9.47809539186827976e-16
54,0.999999999999999532,4.67724817210246613e-16
55,0.999999999999999769,2.30935062739412444e-16
56,0.999999999999999886,1.13841228110977966e-16
57,0.999999999999999944,5.59448321002520288e-17
58,0.999999999999999972,2.79724160501260144e-17
59,0.999999999999999986,1.36609473733173559e-17
60,0.999999999999999993,6.5052130349130266e-18
61,0.999999999999999997,3.2526065174565133e-18
62,0.999999999999999998,1.95156391047390798e-18
63,0.999999999999999999,6.5052130349130266e-19
64,0.999999999999999999,6.5052130349130266e-19
65,1,0
