HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,174,192,0.90625,1,150.264,0.782626
2,15216,18336,0.829843,1,11331,0.617963
3,891812,1.16128e+06,0.767956,1,572521,0.493009
4,1434749,2e+06,0.717375,0,795008,0.397504
5,1352792,2e+06,0.676396,0,648212,0.324106
6,1283249,2e+06,0.641625,0,533342,0.266671
7,1224869,2e+06,0.612434,0,442409,0.221205
8,1176781,2e+06,0.588391,0,370233,0.185117
9,1135151,2e+06,0.567576,0,311246,0.155623
10,1099318,2e+06,0.549659,0,264387,0.132193
11,1071228,2e+06,0.535614,0,225386,0.112693
12,1043957,2e+06,0.521979,0,193620,0.0968102
13,1021099,2e+06,0.510549,0,166785,0.0833927
14,1001218,2e+06,0.500609,0,144338,0.072169
15,982005,2e+06,0.491003,0,125675,0.0628376
16,967292,2e+06,0.483646,0,109178,0.0545888
17,954673,2e+06,0.477336,0,95797.4,0.0478987
18,942233,2e+06,0.471116,0,83988.6,0.0419943
19,930739,2e+06,0.465369,0,73243.9,0.0366219
20,920717,2e+06,0.460359,0,64523.3,0.0322617
21,915431,2e+06,0.457715,0,57520.2,0.0287601
22,905029,2e+06,0.452514,0,49897.3,0.0249487
23,901346,2e+06,0.450673,0,44717.5,0.0223588
24,896586,2e+06,0.448293,0,39294.8,0.0196474
25,890284,2e+06,0.445142,0,34637.8,0.0173189
26,887711,2e+06,0.443856,0,30955.2,0.0154776
27,882154,2e+06,0.441077,0,27300,0.01365
28,879099,2e+06,0.439549,0,24281.2,0.0121406
29,877300,2e+06,0.43865,0,21693.3,0.0108467
30,873659,2e+06,0.436829,0,19293.1,0.00964653
31,873811,2e+06,0.436906,0,17224.8,0.00861241
32,872138,2e+06,0.436069,0,15275.5,0.00763777
33,870521,2e+06,0.43526,0,13902.2,0.00695112
34,869710,2e+06,0.434855,0,12253.4,0.00612669
35,869802,2e+06,0.434901,0,10862.5,0.00543123
36,869488,2e+06,0.434744,0,9917.72,0.00495886
37,868766,2e+06,0.434383,0,8878.21,0.00443911
38,870207,2e+06,0.435103,0,7864.02,0.00393201
39,869824,2e+06,0.434912,0,7226.33,0.00361316
40,869941,2e+06,0.43497,0,6514.21,0.00325711
41,870717,2e+06,0.435358,0,5753.81,0.00287691
42,871776,2e+06,0.435888,0,5245.76,0.00262288
43,872946,2e+06,0.436473,0,4772.38,0.00238619
44,874428,2e+06,0.437214,0,4220.61,0.00211031
45,875973,2e+06,0.437987,0,3808.19,0.0019041
46,877085,2e+06,0.438543,0,3507.51,0.00175375
47,879413,2e+06,0.439707,0,3193.58,0.00159679
48,880779,2e+06,0.440389,0,2900.29,0.00145014
49,881864,2e+06,0.440932,0,2595.69,0.00129784
50,883380,2e+06,0.44169,0,2443.09,0.00122155
51,883934,2e+06,0.441967,0,2143.4,0.0010717
52,885920,2e+06,0.44296,0,2003.06,0.00100153
53,887602,2e+06,0.443801,0,1868.62,0.000934311
54,888793,2e+06,0.444397,0,1763.72,0.000881859
55,891473,2e+06,0.445736,0,1546.77,0.000773387
56,892590,2e+06,0.446295,0,1453.41,0.000726707
57,894699,2e+06,0.44735,0,1363.85,0.000681927
58,895448,2e+06,0.447724,0,1208.03,0.000604014
59,896574,2e+06,0.448287,0,1123.18,0.000561591
60,897720,2e+06,0.44886,0,1082.17,0.000541087
61,900903,2e+06,0.450452,0,992.92,0.00049646
62,901393,2e+06,0.450696,0,922.878,0.000461439
63,902833,2e+06,0.451416,0,877.979,0.000438989
64,905151,2e+06,0.452576,0,823.419,0.00041171
65,905261,2e+06,0.45263,0,758.168,0.000379084
66,907969,2e+06,0.453985,0,695.196,0.000347598
67,909137,2e+06,0.454568,0,670.179,0.000335089
68,911089,2e+06,0.455545,0,648.017,0.000324008
69,912859,2e+06,0.456429,0,573.162,0.000286581
70,913491,2e+06,0.456746,0,559.358,0.000279679
71,915724,2e+06,0.457862,0,536.344,0.000268172
72,915604,2e+06,0.457802,0,508.67,0.000254335
73,917066,2e+06,0.458533,0,478.452,0.000239226
74,917529,2e+06,0.458765,0,452.188,0.000226094
75,919303,2e+06,0.459651,0,430.229,0.000215114
76,920309,2e+06,0.460155,0,422.327,0.000211163
77,921971,2e+06,0.460985,0,417.327,0.000208664
78,922025,2e+06,0.461012,0,392.056,0.000196028
79,922791,2e+06,0.461396,0,382.295,0.000191148
80,923642,2e+06,0.461821,0,350.686,0.000175343
81,925058,2e+06,0.462529,0,347.344,0.000173672
82,925218,2e+06,0.462609,0,325.472,0.000162736
83,925083,2e+06,0.462541,0,322.508,0.000161254
84,926083,2e+06,0.463041,0,317.45,0.000158725
85,926641,2e+06,0.463321,0,303.571,0.000151786
86,925784,2e+06,0.462892,0,290.412,0.000145206
87,927129,2e+06,0.463564,0,283.921,0.00014196
88,926929,2e+06,0.463465,0,268.122,0.000134061
89,927031,2e+06,0.463516,0,267.883,0.000133942
90,926033,2e+06,0.463016,0,257.118,0.000128559
91,926098,2e+06,0.463049,0,257.359,0.000128679
92,926305,2e+06,0.463153,0,242.663,0.000121332
93,926342,2e+06,0.463171,0,238.595,0.000119298
94,925103,2e+06,0.462552,0,234.003,0.000117001
95,925329,2e+06,0.462664,0,225.352,0.000112676
96,925461,2e+06,0.46273,0,220.155,0.000110078
