HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,170,192,0.885417,1,128.779,0.670725
2,14416,18336,0.786213,1,8503.72,0.463772
3,819956,1.16128e+06,0.706079,1,383104,0.329898
4,1286087,2e+06,0.643043,0,482490,0.241245
5,1187087,2e+06,0.593544,0,361298,0.180649
6,1110737,2e+06,0.555369,0,276494,0.138247
7,1047768,2e+06,0.523884,0,215696,0.107848
8,1000169,2e+06,0.500085,0,171252,0.0856258
9,961533,2e+06,0.480766,0,138153,0.0690767
10,932523,2e+06,0.466261,0,113179,0.0565896
11,908925,2e+06,0.454462,0,93036.4,0.0465182
12,892568,2e+06,0.446284,0,77379.2,0.0386896
13,879117,2e+06,0.439559,0,65131.5,0.0325657
14,869039,2e+06,0.43452,0,55078.1,0.0275391
15,864370,2e+06,0.432185,0,47096.3,0.0235481
16,861153,2e+06,0.430576,0,40351.1,0.0201756
17,857791,2e+06,0.428895,0,34458,0.017229
18,858699,2e+06,0.429349,0,30004.6,0.0150023
19,858724,2e+06,0.429362,0,26092.4,0.0130462
20,862406,2e+06,0.431203,0,22557.6,0.0112788
21,865344,2e+06,0.432672,0,19928.9,0.00996445
22,868386,2e+06,0.434193,0,17455.4,0.00872769
23,875428,2e+06,0.437714,0,15804.6,0.00790232
24,877974,2e+06,0.438987,0,14005.3,0.00700264
25,884770,2e+06,0.442385,0,12591.1,0.00629557
26,888893,2e+06,0.444447,0,11214.3,0.00560716
27,893630,2e+06,0.446815,0,10043.5,0.00502176
28,898960,2e+06,0.44948,0,9187.06,0.00459353
29,904206,2e+06,0.452103,0,8304.8,0.0041524
30,908084,2e+06,0.454042,0,7659.09,0.00382955
31,914915,2e+06,0.457458,0,6899.34,0.00344967
32,919198,2e+06,0.459599,0,6213.61,0.00310681
33,923019,2e+06,0.46151,0,5811.7,0.00290585
34,927709,2e+06,0.463855,0,5387.12,0.00269356
35,930009,2e+06,0.465004,0,4933.23,0.00246662
36,936124,2e+06,0.468062,0,4671.98,0.00233599
37,938492,2e+06,0.469246,0,4299.19,0.00214959
38,943013,2e+06,0.471506,0,3918.85,0.00195942
39,945829,2e+06,0.472915,0,3602.28,0.00180114
40,948470,2e+06,0.474235,0,3413.9,0.00170695
41,951036,2e+06,0.475518,0,3175.57,0.00158778
42,952158,2e+06,0.476079,0,3025.62,0.00151281
43,953800,2e+06,0.4769,0,2776.53,0.00138827
44,957000,2e+06,0.4785,0,2588.44,0.00129422
45,959277,2e+06,0.479639,0,2418.77,0.00120938
46,960288,2e+06,0.480144,0,2276.09,0.00113804
47,960858,2e+06,0.480429,0,2068.23,0.00103412
48,962636,2e+06,0.481318,0,1964.73,0.000982364
49,962780,2e+06,0.48139,0,1831.66,0.000915828
50,964380,2e+06,0.48219,0,1714.99,0.000857494
51,963670,2e+06,0.481835,0,1636.87,0.000818437
52,963955,2e+06,0.481978,0,1540.64,0.000770319
53,963806,2e+06,0.481903,0,1416.03,0.000708015
54,965385,2e+06,0.482693,0,1335.66,0.000667831
55,966937,2e+06,0.483469,0,1273.29,0.000636643
56,963993,2e+06,0.481996,0,1250.71,0.000625355
57,963095,2e+06,0.481548,0,1141.9,0.000570951
58,964663,2e+06,0.482332,0,1077.97,0.000538987
59,963236,2e+06,0.481618,0,1041.15,0.000520573
60,964055,2e+06,0.482027,0,950.173,0.000475087
61,963279,2e+06,0.481639,0,909.683,0.000454842
62,963002,2e+06,0.481501,0,855.875,0.000427937
63,961573,2e+06,0.480787,0,829.886,0.000414943
64,960540,2e+06,0.48027,0,779.077,0.000389539
65,959094,2e+06,0.479547,0,729.072,0.000364536
66,959621,2e+06,0.47981,0,683.673,0.000341837
67,958949,2e+06,0.479475,0,664.549,0.000332275
68,957511,2e+06,0.478756,0,609.049,0.000304525
69,956982,2e+06,0.478491,0,603.772,0.000301886
70,955300,2e+06,0.47765,0,579.79,0.000289895
71,954245,2e+06,0.477123,0,540.657,0.000270329
72,952683,2e+06,0.476341,0,512.65,0.000256325
73,952400,2e+06,0.4762,0,499.547,0.000249774
74,951333,2e+06,0.475666,0,476.171,0.000238086
75,950889,2e+06,0.475444,0,449.616,0.000224808
76,949722,2e+06,0.474861,0,433.704,0.000216852
77,949206,2e+06,0.474603,0,414.911,0.000207456
78,947702,2e+06,0.473851,0,396.679,0.00019834
79,947196,2e+06,0.473598,0,389.227,0.000194614
80,945173,2e+06,0.472587,0,369.263,0.000184631
81,944378,2e+06,0.472189,0,353.566,0.000176783
82,943645,2e+06,0.471822,0,340.818,0.000170409
83,943526,2e+06,0.471763,0,327.976,0.000163988
84,941461,2e+06,0.47073,0,315.68,0.00015784
85,942451,2e+06,0.471226,0,308.67,0.000154335
86,939441,2e+06,0.46972,0,294.02,0.00014701
87,937942,2e+06,0.468971,0,285.404,0.000142702
88,938248,2e+06,0.469124,0,278.155,0.000139078
89,938089,2e+06,0.469044,0,270.99,0.000135495
90,935268,2e+06,0.467634,0,256.722,0.000128361
91,934313,2e+06,0.467156,0,260.016,0.000130008
92,935374,2e+06,0.467687,0,247.181,0.000123591
93,934248,2e+06,0.467124,0,243.246,0.000121623
94,933888,2e+06,0.466944,0,235.972,0.000117986
95,931684,2e+06,0.465842,0,234.703,0.000117352
96,929678,2e+06,0.464839,0,220.678,0.000110339
