HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,19,32,0.59375,1,15.4567,0.483022
2,209,496,0.421371,1,124.319,0.250643
3,1623,4960,0.327218,1,687.469,0.138603
4,9917,35960,0.275779,1,2838.42,0.0789327
5,50427,201376,0.250412,1,9193.47,0.0456533
6,219689,906192,0.242431,1,24113.9,0.0266102
7,826496,3.36586e+06,0.245553,1,53483.4,0.01589
8,508396,2e+06,0.254198,0,19617.6,0.00980881
9,533910,2e+06,0.266955,0,12744.5,0.00637226
10,558057,2e+06,0.279029,0,8723.61,0.00436181
11,580985,2e+06,0.290492,0,6425.35,0.00321267
12,599494,2e+06,0.299747,0,4823.74,0.00241187
13,613173,2e+06,0.306586,0,3803.42,0.00190171
14,621937,2e+06,0.310968,0,3199.14,0.00159957
15,625733,2e+06,0.312866,0,2730.47,0.00136524
16,624799,2e+06,0.312399,0,2417.46,0.00120873
