HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,64,80,0.8,1,49.0949,0.613687
2,2076,3160,0.656962,1,1239.62,0.392284
3,45665,82160,0.555806,1,21357.1,0.259945
4,765491,1.58158e+06,0.484004,1,281266,0.177838
5,865442,2e+06,0.432721,0,250341,0.12517
6,794304,2e+06,0.397152,0,180620,0.0903102
7,743176,2e+06,0.371588,0,132494,0.0662472
8,708788,2e+06,0.354394,0,99339.8,0.0496699
9,687440,2e+06,0.34372,0,75368.9,0.0376844
10,675644,2e+06,0.337822,0,58209.6,0.0291048
11,670143,2e+06,0.335072,0,45711.8,0.0228559
12,668566,2e+06,0.334283,0,36031.9,0.018016
13,672702,2e+06,0.336351,0,28626,0.014313
14,677523,2e+06,0.338761,0,23156.8,0.0115784
15,684849,2e+06,0.342425,0,18900.9,0.00945043
16,693423,2e+06,0.346712,0,15142.4,0.00757119
17,701283,2e+06,0.350641,0,12750,0.00637502
18,709849,2e+06,0.354924,0,10692.2,0.00534608
19,718026,2e+06,0.359013,0,8870.61,0.0044353
20,726173,2e+06,0.363086,0,7349.95,0.00367497
21,732275,2e+06,0.366138,0,6358.45,0.00317922
22,738496,2e+06,0.369248,0,5352.06,0.00267603
23,744246,2e+06,0.372123,0,4547.91,0.00227396
24,748700,2e+06,0.37435,0,3999.77,0.00199988
25,754097,2e+06,0.377049,0,3442.07,0.00172104
26,757886,2e+06,0.378943,0,3031.01,0.00151551
27,761133,2e+06,0.380566,0,2652.28,0.00132614
28,764899,2e+06,0.382449,0,2291.94,0.00114597
29,765817,2e+06,0.382908,0,2053.48,0.00102674
30,767325,2e+06,0.383663,0,1803.28,0.000901641
31,769794,2e+06,0.384897,0,1604.02,0.00080201
32,770829,2e+06,0.385414,0,1451.84,0.000725918
33,770195,2e+06,0.385097,0,1325.18,0.000662588
34,772870,2e+06,0.386435,0,1197.7,0.000598851
35,769554,2e+06,0.384777,0,1109.68,0.000554842
36,767906,2e+06,0.383953,0,1006.11,0.000503055
37,768178,2e+06,0.384089,0,935.003,0.000467501
38,765604,2e+06,0.382802,0,860.63,0.000430315
39,764133,2e+06,0.382066,0,802.683,0.000401342
40,759137,2e+06,0.379568,0,744.446,0.000372223
