HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,80,80,1,1,66.9562,0.836952
2,3147,3160,0.995886,1,2324.46,0.735587
3,81380,82160,0.990506,1,54931.8,0.668595
4,1557853,1.58158e+06,0.984998,1,983661,0.621949
5,1959343,2e+06,0.979672,0,1.17588e+06,0.587942
6,1949342,2e+06,0.974671,0,1.1251e+06,0.562552
7,1939847,2e+06,0.969924,0,1.08559e+06,0.542793
8,1930294,2e+06,0.965147,0,1.05437e+06,0.527184
9,1920892,2e+06,0.960446,0,1.02854e+06,0.514271
10,1911288,2e+06,0.955644,0,1.00642e+06,0.503208
11,1902220,2e+06,0.95111,0,987836,0.493918
12,1892786,2e+06,0.946393,0,971432,0.485716
13,1883165,2e+06,0.941582,0,956850,0.478425
14,1873803,2e+06,0.936902,0,943393,0.471697
15,1863866,2e+06,0.931933,0,930819,0.46541
16,1854364,2e+06,0.927182,0,919643,0.459821
17,1845121,2e+06,0.922561,0,909084,0.454542
18,1835673,2e+06,0.917837,0,899285,0.449643
19,1825348,2e+06,0.912674,0,889468,0.444734
20,1814038,2e+06,0.907019,0,879619,0.439809
21,1804723,2e+06,0.902362,0,871069,0.435534
22,1794497,2e+06,0.897249,0,862494,0.431247
23,1783834,2e+06,0.891917,0,853831,0.426915
24,1774888,2e+06,0.887444,0,846379,0.423189
25,1765546,2e+06,0.882773,0,838732,0.419366
26,1755577,2e+06,0.877788,0,831507,0.415754
27,1747961,2e+06,0.873981,0,825235,0.412617
28,1738427,2e+06,0.869213,0,818315,0.409158
29,1729257,2e+06,0.864629,0,811605,0.405803
30,1722493,2e+06,0.861247,0,806381,0.403191
31,1714154,2e+06,0.857077,0,800699,0.40035
32,1706293,2e+06,0.853147,0,795318,0.397659
33,1701643,2e+06,0.850822,0,791447,0.395723
34,1694745,2e+06,0.847372,0,786939,0.393469
35,1689819,2e+06,0.844909,0,783066,0.391533
36,1684124,2e+06,0.842062,0,779522,0.389761
37,1681097,2e+06,0.840549,0,776987,0.388494
38,1676882,2e+06,0.838441,0,774286,0.387143
39,1672991,2e+06,0.836495,0,771404,0.385702
40,1671092,2e+06,0.835546,0,770060,0.38503
