HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,57,80,0.7125,1,56.6406,0.708008
2,1641,3160,0.519304,1,1618.48,0.512179
3,31988,82160,0.389338,1,31287.6,0.380814
4,478127,1.58158e+06,0.30231,1,463465,0.293039
5,486920,2e+06,0.24346,0,467617,0.233808
6,405691,2e+06,0.202846,0,386130,0.193065
7,349425,2e+06,0.174712,0,329795,0.164898
8,307464,2e+06,0.153732,0,288048,0.144024
9,275591,2e+06,0.137795,0,256470,0.128235
10,249563,2e+06,0.124782,0,230899,0.11545
11,229158,2e+06,0.114579,0,210921,0.105461
12,211314,2e+06,0.105657,0,193600,0.0967998
13,197293,2e+06,0.0986465,0,180003,0.0900013
14,182485,2e+06,0.0912425,0,165819,0.0829096
15,171568,2e+06,0.085784,0,155394,0.0776968
16,160209,2e+06,0.0801045,0,144606,0.0723029
17,151340,2e+06,0.07567,0,136171,0.0680856
18,142134,2e+06,0.071067,0,127485,0.0637427
19,135184,2e+06,0.067592,0,120910,0.060455
20,128384,2e+06,0.064192,0,114510,0.0572552
21,121527,2e+06,0.0607635,0,108092,0.0540458
22,115644,2e+06,0.057822,0,102617,0.0513085
23,109643,2e+06,0.0548215,0,97092,0.048546
24,105675,2e+06,0.0528375,0,93371.6,0.0466858
25,100593,2e+06,0.0502965,0,88692.2,0.0443461
26,97307,2e+06,0.0486535,0,85665.2,0.0428326
27,93020,2e+06,0.04651,0,81745.2,0.0408726
28,90143,2e+06,0.0450715,0,79068.3,0.0395342
29,86688,2e+06,0.043344,0,75928.5,0.0379642
30,84120,2e+06,0.04206,0,73579.9,0.0367899
31,81697,2e+06,0.0408485,0,71369.1,0.0356846
32,80071,2e+06,0.0400355,0,69882.9,0.0349414
33,77902,2e+06,0.038951,0,67908.9,0.0339545
34,75940,2e+06,0.03797,0,66157.2,0.0330786
35,73865,2e+06,0.0369325,0,64284.9,0.0321424
36,72264,2e+06,0.036132,0,62855.5,0.0314278
37,71467,2e+06,0.0357335,0,62104,0.031052
38,69124,2e+06,0.034562,0,60053.4,0.0300267
39,68343,2e+06,0.0341715,0,59353.6,0.0296768
40,66397,2e+06,0.0331985,0,57641,0.0288205
