HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,61,80,0.7625,1,60.7812,0.759766
2,1885,3160,0.596519,1,1869.2,0.59152
3,39370,82160,0.479187,1,38818,0.472469
4,622864,1.58158e+06,0.393824,1,610306,0.385884
5,659805,2e+06,0.329902,0,642265,0.321132
6,559031,2e+06,0.279515,0,540547,0.270274
7,481210,2e+06,0.240605,0,462210,0.231105
8,415648,2e+06,0.207824,0,396645,0.198322
9,362856,2e+06,0.181428,0,344046,0.172023
10,319303,2e+06,0.159652,0,300913,0.150457
11,284019,2e+06,0.14201,0,266075,0.133037
12,252087,2e+06,0.126044,0,234829,0.117414
13,227150,2e+06,0.113575,0,210446,0.105223
14,204578,2e+06,0.102289,0,188553,0.0942767
15,186769,2e+06,0.0933845,0,171265,0.0856325
16,171446,2e+06,0.085723,0,156446,0.0782228
17,157047,2e+06,0.0785235,0,142698,0.071349
18,145690,2e+06,0.072845,0,131811,0.0659055
19,136739,2e+06,0.0683695,0,123226,0.0616132
20,127818,2e+06,0.063909,0,114737,0.0573686
21,120804,2e+06,0.060402,0,108079,0.0540394
22,114335,2e+06,0.0571675,0,101976,0.0509882
23,109433,2e+06,0.0547165,0,97292.8,0.0486464
24,104572,2e+06,0.052286,0,92722.7,0.0463614
25,99965,2e+06,0.0499825,0,88392,0.044196
26,96693,2e+06,0.0483465,0,85314.6,0.0426573
27,93326,2e+06,0.046663,0,82201,0.0411005
28,90367,2e+06,0.0451835,0,79413.2,0.0397066
29,87728,2e+06,0.043864,0,76972,0.038486
30,85350,2e+06,0.042675,0,74722.8,0.0373614
31,82906,2e+06,0.041453,0,72521.6,0.0362608
32,81103,2e+06,0.0405515,0,70840.8,0.0354204
33,79241,2e+06,0.0396205,0,69127.1,0.0345635
34,77276,2e+06,0.038638,0,67372.6,0.0336863
35,74886,2e+06,0.037443,0,65203.3,0.0326016
36,73755,2e+06,0.0368775,0,64200.1,0.0321001
37,71611,2e+06,0.0358055,0,62274.1,0.0311371
38,70809,2e+06,0.0354045,0,61512.7,0.0307564
39,68784,2e+06,0.034392,0,59721.5,0.0298608
40,67019,2e+06,0.0335095,0,58185.2,0.0290926
