HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,63,80,0.7875,1,56.8029,0.710037
2,2016,3160,0.637975,1,1590.3,0.503259
3,43808,82160,0.533204,1,29187.5,0.355252
4,729493,1.58158e+06,0.461243,1,395459,0.250041
5,826818,2e+06,0.413409,0,351492,0.175746
6,764994,2e+06,0.382497,0,247781,0.12389
7,725480,2e+06,0.36274,0,175342,0.0876709
8,703343,2e+06,0.351672,0,125099,0.0625493
9,691838,2e+06,0.345919,0,90476.3,0.0452381
10,688299,2e+06,0.344149,0,66152.3,0.0330761
11,687808,2e+06,0.343904,0,48579.6,0.0242898
12,689921,2e+06,0.344961,0,36583.4,0.0182917
13,694518,2e+06,0.347259,0,27773.6,0.0138868
14,700843,2e+06,0.350421,0,21718.1,0.010859
15,706598,2e+06,0.353299,0,17033.3,0.00851663
16,712154,2e+06,0.356077,0,13569.9,0.00678496
17,719124,2e+06,0.359562,0,11001.5,0.00550073
18,725064,2e+06,0.362532,0,8960.77,0.00448039
19,731357,2e+06,0.365679,0,7599.75,0.00379988
20,735919,2e+06,0.367959,0,6311.41,0.00315571
21,740702,2e+06,0.370351,0,5443.88,0.00272194
22,746763,2e+06,0.373381,0,4658,0.002329
23,750600,2e+06,0.3753,0,3950.73,0.00197537
24,754560,2e+06,0.37728,0,3522.72,0.00176136
25,758847,2e+06,0.379424,0,3074.18,0.00153709
26,761557,2e+06,0.380779,0,2696.58,0.00134829
27,765054,2e+06,0.382527,0,2348.93,0.00117447
28,767086,2e+06,0.383543,0,2114.55,0.00105728
29,769180,2e+06,0.38459,0,1865.33,0.000932666
30,769426,2e+06,0.384713,0,1714.91,0.000857455
31,770397,2e+06,0.385198,0,1540.66,0.000770331
32,771134,2e+06,0.385567,0,1404.03,0.000702017
33,770197,2e+06,0.385099,0,1250.53,0.000625264
34,769401,2e+06,0.384701,0,1159.19,0.000579597
35,767451,2e+06,0.383725,0,1061.44,0.000530721
36,767342,2e+06,0.383671,0,994.415,0.000497208
37,765945,2e+06,0.382972,0,922.396,0.000461198
38,763279,2e+06,0.38164,0,863.063,0.000431531
39,760643,2e+06,0.380321,0,811.352,0.000405676
40,758017,2e+06,0.379009,0,757.159,0.000378579
