GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
1a27-7d0e-ebc6-7891-3416,0.000685871,6277,491
b042-3873-2144-d5b9-386b,0.00023815,15940,214
391-6fde-c479-e9a1-5562,0.000411987,12246,1143
e8e7-da65-d121-2d41-8366,0.000353894,15480,709
a073-f526-6a64-64ec-dec7,0.000530842,9825,642
5ee9-98bf-dd43-13b6-c08a,0.000364256,16918,15
22f9-6d9f-7fee-f41a-9ae1,0.000324,14436,8
a964-ed04-6791-f9f-e132,0.000541923,9212,2364
1bc-7060-75d3-910e-3b86,0.000482253,9903,208
e397-bdbd-ff62-997a-3ab5,0.000419718,10154,1
41a8-afad-c758-a939-bf4c,0.000353895,16649,372
9ee4-3ac3-a8d4-663d-e3fc,0.000337119,18402,7
66a9-911a-49e2-d02c-1b77,0.00038104,13828,557
420a-9f69-746-fced-a589,0.000305868,14202,218
3bec-6396-36a3-85ce-33c2,0.000707223,5993,33
521b-7e68-a827-ba9b-35a0,0.000818927,2424,8
17a5-f707-6346-7a01-f803,0.00023593,20408,390
4a9a-f4f2-a4eb-51e0-f1e0,0.000541923,7292,2558
4a74-8dcc-5576-8117-139a,3e-05,20546,9
8939-d332-9202-3160-8dcd,0.00023593,19513,284
c7a3-4905-84d4-2ae9-c306,0.000578183,6095,29
7268-b2bf-d18d-b8bc-65a7,0.000796263,2790,414
d70f-356-5a99-7bfa-5536,0.00113778,1703,20
4c79-c66e-e302-a1f0-4785,0.00192,2346,18
f69d-2b29-1ab8-889f-5c89,0.00173611,701,27
a885-5042-a58e-2d5a-7b2c,0.000669041,3994,85
d09c-7388-71ad-a229-2c44,0.00030899,15856,1111
d754-7938-2f9b-31ee-f532,0.000549316,10047,1338
325-5e71-4b80-1ddd-e710,0.000440449,11937,131
5cdd-b338-2ad4-ce8b-5561,0.000743378,4325,70
768c-8291-d1ca-c20d-a06e,0.000361282,14723,2
b8da-6a16-66d1-f02d-b7ae,0.0006615,5623,29
5a8e-a2ac-6dda-f87d-8549,0.000391737,14460,5
c2b3-3748-9a78-2984-2776,0.00038104,16364,544
5226-8413-ca22-c000-7c90,0.00023593,14495,340
cd14-e446-c4d7-9736-a446,0.000705174,5137,2
4167-e6a2-896c-1353-6e8f,0.00072,7124,6
82d7-bb88-d7e2-4a1e-1014,0.00035204,15821,97
6818-b8e9-b82c-2cef-5020,0.000152934,15129,108
a551-a46a-8ace-29b0-3f28,0.000353894,19742,737
7538-e9f3-8c2a-9c8c-d5c9,0.00028331,16055,13
6010-4a4-8eb2-183c-3193,0.000541923,6020,2219
c804-88e8-7b88-542f-2574,0.00069673,4447,11
9bb7-1d27-8f50-9aad-c988,0.000609639,5567,30
7a38-8c71-c3fb-f5c0-e0a0,0.000411987,15263,1628
615b-6f32-e5ea-a286-6ac6,0.000541923,6507,2330
5176-bd8a-b1b7-1ae9-3661,0.000796263,3230,372
ac82-61b6-5dc4-9525-2622,0.000743378,3506,41
9333-4641-4c2e-2813-59c8,0.000743379,3246,101
7343-896e-c8fa-592d-2bf4,0.00030899,17105,996
4489-a67-a72f-d83-6394,0.000404728,12533,8
d324-4143-7717-3d55-fcf2,0.000411987,17612,1968
4d14-6bd1-3688-92ec-ce4b,0.000825976,2318,38
e1ba-a52-7f6c-88ea-17d5,0.000530842,11172,632
e301-5c0e-5919-5a18-9963,0.000686646,5419,106
560b-2e56-19d5-6022-1d47,0.000796263,3514,158
4c25-f2c7-ba02-82ad-85b3,0.000756,3727,68
45a7-3b07-12fa-9ec0-951f,0.000541923,10172,1521
7379-77b7-6a90-d70d-c3fe,0.000642426,6271,26
8e0f-afa7-f200-bbe1-7ae,0.000976562,724,249
d7d5-6844-9515-9b4b-2e76,0.000530842,9830,782
f45d-efa2-6e56-621b-ab48,0.000578704,7825,65
fa95-fa7d-843e-1b5-ab96,0.000611735,6022,183
3d6-534f-e1c8-22d-f1db,0.000541923,8644,3040
cca-c349-4faf-18e8-bc48,0.000411987,11150,1235
ebe3-944b-5c1e-1310-fed7,0.000541923,7073,2718
7844-2d4d-8b82-d462-405e,5.14984e-05,17007,1
8a59-6343-6038-4c79-41d4,0.000648296,5132,6
fba-62e8-e853-50f6-eccb,0.000353894,17945,788
3762-1064-304d-88a7-51ce,0.000609368,5391,11
2784-eb-7f1c-b306-d54e,0.000530842,12534,758
8fa8-cc87-9c9b-ec4-7f8d,0.00023593,18642,407
71e9-ce3e-bcec-aa7b-edf0,0.000411987,12168,1207
46c4-24e0-a69e-9b7f-cf54,0.000541923,7650,2677
4dc7-491b-8981-57d9-df0a,0.000411987,14969,1538
864a-89fe-c019-fcb-e1d8,0.000231743,18472,628
9f24-a471-308e-6ed4-1673,0.000648296,5774,3
88e6-7166-719e-e128-e717,0.000520365,11123,66
68b7-bbd1-da3a-65e2-5422,0.000880899,1617,40
aca0-3dd8-88e7-7b52-3089,0.000208146,21526,16
1f47-df2f-fa08-a82e-5a81,0.000859873,2080,8
2a91-7ec7-369b-e365-7e91,0.000976562,1525,885
85ca-8c74-88a7-9ead-d4a2,0.00042336,11442,17
e936-bb3-9e01-388d-3e41,3.70455e-05,20929,0
77f2-7eca-7ec9-ae8d-622f,0.000976562,529,1296
ef76-3ab6-9156-182f-5938,0.000541923,5641,2094
4d89-e986-503d-3335-917d,0.000482253,13334,230
633b-6906-7699-b378-9c3c,0.000816118,4079,45
816-405c-89c0-2ac1-159b,0.00023593,16472,508
cf94-1727-7176-c7e9-251b,0.000520365,11891,96
247d-73b6-b7d3-920f-fdb4,0.00030899,13632,1006
4da5-e2ea-3dc0-c43e-9662,0.000411987,13534,1673
d9fc-cc54-d6bf-63bc-f716,0.105469,287,74
dbc-ac75-d029-c58f-3e84,0.000386238,15435,44
767b-a552-7d5d-38ac-2d49,0.000411987,11977,1294
aa3b-ecc0-52e2-6bd2-3d64,0.00030899,15260,1012
1bb1-f273-28ef-e91d-e372,0.000734082,4605,374
2cbf-f3d1-6c17-22a4-8236,0.000530842,8888,782
6621-b496-a044-e9d3-5a6c,0.000530842,8382,689
ee3a-730-1a6c-204d-9ab7,0.000457026,11492,4
d6f0-e195-8b1e-12a6-6a6a,0.000771605,3393,295
948e-11e7-1b27-bd7e-fb04,0.000434028,12989,15
6bd6-8afd-dcc8-c300-8132,0.000530842,8196,528
57c-578f-9319-20a4-150d,0.000530842,11561,622
8e1d-1f3d-ff4a-7cf2-89ee,0.000338702,18801,214
1564-e987-fed5-d739-1fd6,0.000482798,12054,210
1eac-33c5-2d16-2017-1b6f,0.00042336,12142,7
bb8a-48d5-6f23-bad4-c5c8,0.000530842,11784,787
f911-c700-b3c5-53d1-94a4,0.000338702,16046,200
b312-6935-7e2b-b1e7-406e,0.00308443,740,0
9e01-d093-7433-cb18-f0ab,0.000825976,2552,74
8fa2-1815-7c98-360e-41da,0.000482798,12878,174
c102-2d8d-613a-3026-e862,0.00617284,217,48
2702-2937-af62-dac7-7d08,0.00030899,16675,1392
d111-5edb-10b7-8074-39a3,0.00542535,727,1
6ff4-542b-ec25-80ab-d49f,0.00081258,2201,0
25c8-e6b-9919-ed45-8268,0.000611735,6393,155
1fc5-f482-1d10-6a4-c14,0.000732422,3307,908
1a38-3481-4776-a2ad-b79b,0.000353894,13758,741
d4c0-12a2-bc6-c0e6-934d,0.000603497,9076,215
2420-9944-c876-4131-9fe8,0.000411987,11357,972
aba2-8a65-8299-f319-2d12,0.000541923,8703,1789
b43c-b8d0-8d92-6dd8-28fd,0.000825976,2433,43
e074-9877-d46d-2029-de71,0.000541923,8990,4032
5d2d-f32b-4d0-cc9b-67e5,0.000353895,11662,365
2a67-3f05-8430-ddc9-9d48,0.000305868,16898,203
f91b-75cf-2e42-539e-1229,0.00694444,679,28
1e66-18d6-d8ea-4d8f-623e,0.000796263,3402,215
3a5f-168a-7e1-134a-641a,0.000353894,14579,839
7f57-6985-b58d-11c3-3660,0.000482798,10967,192
556b-d860-652c-389-1f67,0.000468328,12810,48
57db-f703-d304-6634-c63d,0.000428669,14212,453
663c-e58b-2fc2-1bc9-f74e,0.000482798,10971,137
9682-3a3-6c8-70c4-a987,0.00023593,19362,435
ed20-c89f-a08a-c025-2ed3,0.000530842,11048,907
5cd1-f4d1-e0b1-8362-3f95,0.00076171,3668,22
821a-f412-5e1d-9678-8a9c,0.000549316,7810,1514
a047-a225-874a-53a5-7d80,0.000231743,18917,657
3c97-d324-bfa2-7fd0-5d9b,0.000611735,7602,335
4a4a-6c8f-d533-9d92-f9d9,0.000353895,12416,280
d5ca-4f19-dabb-1dbd-14a3,0.00063504,7888,62
dcbc-1c85-af1c-9c5e-9c55,0.000743379,2712,49
cb8-e6a8-8e5-e1eb-843a,0.00018963,21956,13
2be-eeda-a3e7-f0aa-59e7,0.000602137,7541,11
ccc0-81dd-325f-3be-61cb,0.000578183,10993,67
e7bb-2649-9af1-8ba2-16f3,0.000440449,12725,74
f4d9-e5ae-8025-5a15-9804,0.00023815,16542,154
c602-6e06-3f19-f862-71c5,0.000367041,13743,151
cf18-39da-8e59-3299-5d65,0.00023593,21586,256
9aa2-ca3b-8ba5-1ac8-2450,0.000549316,7767,1112
23aa-3f1-429b-43cf-a538,0.000353894,13797,413
8503-dfd4-8ed-d743-ff08,0.00023593,20304,505
59d1-488f-d353-9c6c-8c5e,0.000603497,8489,249
ba10-6e6a-8e6b-f2f3-c9de,0.00617284,463,42
272f-5a5c-615b-fa82-f6c9,0.000685871,6228,509
f7b6-e357-2c06-8621-d64a,0.000305868,13328,227
2b9-20b1-3c10-5a86-213c,0.000364255,11211,19
7262-a3f2-ef45-56e-27db,0.000976562,1349,1728
5698-23ae-691b-b61e-7956,0.000411987,13680,1102
bf52-a21-e1e8-3fa0-37eb,0.000509779,12631,222
5d83-9638-5b99-c69e-4c56,0.000669041,5981,97
b907-68-ae21-db64-8c7,0.000411987,13153,1201
9a90-9ab6-12e8-7c79-da56,0.00030899,12634,868
bce4-7b5d-187d-c211-ea55,0.000541923,8492,3872
75ab-c4f4-471d-8005-125,0.00030899,14748,847
a54-4f43-af27-1d3d-cbbc,0.000367041,13932,144
742f-dc85-539d-88c1-1a5,0.000385803,12136,25
223a-5e04-eca2-e8d3-80f6,0.000917751,851,41
88af-ee80-4d7c-b628-6996,0.000541923,9334,2677
7799-50e9-556c-982e-d318,0.00069953,5141,35
43a2-ba68-311c-3045-a33b,0.000734082,3654,289
cda9-e53b-ac6b-1b25-9b63,0.000509779,11661,198
1601-597f-4ac1-842a-f0c6,0.000530842,9022,437
3a01-1a79-441c-8dce-7704,7.11111e-05,16863,17
207-5b77-5c3f-ae73-769c,0.000157286,16108,260
c0e1-db6f-3991-b059-a805,0.000231743,17677,386
e23e-2c0b-829e-3e7d-da7e,0.00023593,16146,224
fbf9-6dfe-ca5a-e82d-1f0d,0.000353895,11774,269
1748-33e6-7b99-1eaf-8,0.000406442,10410,79
8e1f-5b4-dfd5-9637-58e8,0.000734082,4638,227
