k,m,h(m)
19,1,0.40625
19,2,0.157258
19,3,0.0576613
19,4,0.0198832
19,5,0.00639103
19,6,0.00189364
19,7,0.000509826
19,8,0.000122358
19,9,2.54913e-05
19,10,4.43327e-06
19,11,6.04536e-07
19,12,5.75749e-08
19,13,2.87874e-09
20,1,0.375
20,2,0.133065
20,3,0.0443548
20,4,0.0137653
20,5,0.00393294
20,6,0.00101965
20,7,0.000235304
20,8,4.70608e-05
20,9,7.84347e-06
20,10,1.02306e-06
20,11,9.30056e-08
20,12,4.42884e-09
21,1,0.34375
21,2,0.110887
21,3,0.0332661
21,4,0.00917686
21,5,0.00229422
21,6,0.000509826
21,7,9.80434e-05
21,8,1.56869e-05
21,9,1.96087e-06
21,10,1.7051e-07
21,11,7.75047e-09
22,1,0.3125
22,2,0.0907258
22,3,0.0241935
22,4,0.00583982
22,5,0.00125139
22,6,0.000231739
22,7,3.56521e-05
22,8,4.27826e-06
22,9,3.56521e-07
22,10,1.55009e-08
23,1,0.28125
23,2,0.0725806
23,3,0.0169355
23,4,0.00350389
23,5,0.000625695
23,6,9.26956e-05
23,7,1.06956e-05
23,8,8.55652e-07
23,9,3.56521e-08
24,1,0.25
24,2,0.0564516
24,3,0.0112903
24,4,0.00194661
24,5,0.000278087
24,6,3.08985e-05
24,7,2.37681e-06
24,8,9.50724e-08
25,1,0.21875
25,2,0.0423387
25,3,0.00705645
25,4,0.000973304
25,5,0.000104283
25,6,7.72463e-06
25,7,2.97101e-07
26,1,0.1875
26,2,0.0302419
26,3,0.00403226
26,4,0.00041713
26,5,2.9795e-05
26,6,1.10352e-06
27,1,0.15625
27,2,0.0201613
27,3,0.00201613
27,4,0.000139043
27,5,4.96584e-06
28,1,0.125
28,2,0.0120968
28,3,0.000806452
28,4,2.78087e-05
29,1,0.09375
29,2,0.00604839
29,3,0.000201613
30,1,0.0625
30,2,0.00201613
31,1,0.03125
