HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,80,80,1,1,71.0952,0.88869
2,3154,3160,0.998101,1,2518.08,0.79686
3,81583,82160,0.992977,1,59388.7,0.722843
4,1557975,1.58158e+06,0.985075,1,1.05014e+06,0.66398
5,1951281,2e+06,0.975641,0,1.23505e+06,0.617527
6,1930656,2e+06,0.965328,0,1.16117e+06,0.580587
7,1911064,2e+06,0.955532,0,1.10283e+06,0.551417
8,1892100,2e+06,0.94605,0,1.05568e+06,0.527842
9,1873747,2e+06,0.936874,0,1.017e+06,0.508502
10,1857682,2e+06,0.928841,0,986074,0.493037
11,1844262,2e+06,0.922131,0,960663,0.480331
12,1829798,2e+06,0.914899,0,938591,0.469295
13,1818704,2e+06,0.909352,0,920744,0.460372
14,1807440,2e+06,0.90372,0,905016,0.452508
15,1796750,2e+06,0.898375,0,891046,0.445523
16,1787840,2e+06,0.89392,0,879667,0.439833
17,1778603,2e+06,0.889301,0,869267,0.434634
18,1770974,2e+06,0.885487,0,860175,0.430087
19,1763332,2e+06,0.881666,0,851997,0.425999
20,1756906,2e+06,0.878453,0,844959,0.42248
21,1750474,2e+06,0.875237,0,838360,0.41918
22,1743757,2e+06,0.871879,0,832345,0.416173
23,1738544,2e+06,0.869272,0,826709,0.413355
24,1733661,2e+06,0.86683,0,822262,0.411131
25,1728937,2e+06,0.864468,0,817823,0.408911
26,1724618,2e+06,0.862309,0,813682,0.406841
27,1719774,2e+06,0.859887,0,809610,0.404805
28,1715296,2e+06,0.857648,0,805967,0.402984
29,1711011,2e+06,0.855506,0,802127,0.401063
30,1706772,2e+06,0.853386,0,798801,0.3994
31,1703260,2e+06,0.85163,0,796017,0.398009
32,1700530,2e+06,0.850265,0,793356,0.396678
33,1696749,2e+06,0.848375,0,790336,0.395168
34,1693860,2e+06,0.84693,0,787774,0.393887
35,1690626,2e+06,0.845313,0,785452,0.392726
36,1686775,2e+06,0.843387,0,782478,0.391239
37,1684130,2e+06,0.842065,0,780177,0.390089
38,1680560,2e+06,0.84028,0,777623,0.388811
39,1678247,2e+06,0.839124,0,775648,0.387824
40,1676395,2e+06,0.838198,0,773769,0.386885
