HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,68,80,0.85,1,61.4,0.7675
2,2311,3160,0.731329,1,1898.1,0.600665
3,52131,82160,0.634506,1,39441.3,0.480055
4,876378,1.58158e+06,0.554116,1,618481,0.391053
5,4872394,1e+07,0.487239,0,3.24335e+06,0.324335
6,4318419,1e+07,0.431842,0,2.73906e+06,0.273906
7,3865778,1e+07,0.386578,0,2.35512e+06,0.235512
8,3495136,1e+07,0.349514,0,2.05963e+06,0.205963
9,3194331,1e+07,0.319433,0,1.83199e+06,0.183199
10,2954287,1e+07,0.295429,0,1.6569e+06,0.16569
11,2753929,1e+07,0.275393,0,1.51735e+06,0.151735
12,2595871,1e+07,0.259587,0,1.4093e+06,0.14093
13,2466449,1e+07,0.246645,0,1.32257e+06,0.132257
14,2359807,1e+07,0.235981,0,1.2527e+06,0.12527
15,2270932,1e+07,0.227093,0,1.19593e+06,0.119593
16,2194437,1e+07,0.219444,0,1.14757e+06,0.114757
17,2131349,1e+07,0.213135,0,1.10838e+06,0.110838
18,2073955,1e+07,0.207396,0,1.07345e+06,0.107345
19,2026701,1e+07,0.20267,0,1.04477e+06,0.104477
20,1982845,1e+07,0.198285,0,1.01833e+06,0.101833
21,1943770,1e+07,0.194377,0,995529,0.0995529
22,1912218,1e+07,0.191222,0,976804,0.0976804
23,1881854,1e+07,0.188185,0,959322,0.0959322
24,1854396,1e+07,0.18544,0,943345,0.0943345
25,1831093,1e+07,0.183109,0,930039,0.0930039
26,1811083,1e+07,0.181108,0,918518,0.0918518
27,1793287,1e+07,0.179329,0,908496,0.0908496
28,1773419,1e+07,0.177342,0,897405,0.0897405
29,1760409,1e+07,0.176041,0,889939,0.0889939
30,1746754,1e+07,0.174675,0,882359,0.0882359
31,1739728,1e+07,0.173973,0,878012,0.0878012
32,1729091,1e+07,0.172909,0,872192,0.0872192
33,1722273,1e+07,0.172227,0,868398,0.0868398
34,1718820,1e+07,0.171882,0,866072,0.0866072
35,1715234,1e+07,0.171523,0,864053,0.0864053
36,1713671,1e+07,0.171367,0,862879,0.0862879
37,1714191,1e+07,0.171419,0,862856,0.0862856
38,1712154,1e+07,0.171215,0,861488,0.0861488
39,1713915,1e+07,0.171392,0,862244,0.0862244
40,1715554,1e+07,0.171555,0,862818,0.0862818
41,1717362,1e+07,0.171736,0,863441,0.0863441
42,1719433,1e+07,0.171943,0,864451,0.0864451
43,1720736,1e+07,0.172074,0,864855,0.0864855
44,1722077,1e+07,0.172208,0,865136,0.0865136
45,1723427,1e+07,0.172343,0,865442,0.0865442
46,1723605,1e+07,0.17236,0,865410,0.086541
47,1724407,1e+07,0.172441,0,865495,0.0865495
48,1720845,1e+07,0.172085,0,863368,0.0863368
49,1720639,1e+07,0.172064,0,862908,0.0862908
50,1712238,1e+07,0.171224,0,858369,0.0858369
51,1705046,1e+07,0.170505,0,854463,0.0854463
52,1696484,1e+07,0.169648,0,849707,0.0849707
53,1686331,1e+07,0.168633,0,844376,0.0844376
54,1673959,1e+07,0.167396,0,837655,0.0837655
55,1655538,1e+07,0.165554,0,827991,0.0827991
56,1637368,1e+07,0.163737,0,818463,0.0818463
57,1612533,1e+07,0.161253,0,805772,0.0805772
58,1587967,1e+07,0.158797,0,792994,0.0792994
59,1557996,1e+07,0.1558,0,777667,0.0777667
60,1523723,1e+07,0.152372,0,760258,0.0760258
61,1488107,1e+07,0.148811,0,742151,0.0742151
62,1446881,1e+07,0.144688,0,721215,0.0721215
63,1402132,1e+07,0.140213,0,698779,0.0698779
64,1353331,1e+07,0.135333,0,674225,0.0674225
65,1298323,1e+07,0.129832,0,646699,0.0646699
66,1240073,1e+07,0.124007,0,617572,0.0617572
67,1176551,1e+07,0.117655,0,585780,0.058578
68,1107515,1e+07,0.110752,0,551537,0.0551537
69,1038150,1e+07,0.103815,0,516972,0.0516972
70,959099,1e+07,0.0959099,0,477567,0.0477567
71,877257,1e+07,0.0877257,0,436944,0.0436944
72,792766,1e+07,0.0792766,0,395028,0.0395028
73,703661,1e+07,0.0703661,0,350706,0.0350706
74,612095,1e+07,0.0612095,0,305239,0.0305239
75,515965,1e+07,0.0515965,0,257440,0.025744
76,66278,1.58158e+06,0.0419062,1,33095.8,0.0209258
77,2640,82160,0.0321324,1,1319.2,0.0160565
78,71,3160,0.0224684,1,35.5,0.0112342
79,1,80,0.0125,1,0.5,0.00625
80,0,1,0,1,0,0
