l,p(!0),p(0)
1,3.814697265625e-06,0.999996185302734375
2,0.00563773160534785642,0.994362268394652144
3,0.0903960834806182131,0.909603916519381787
4,0.312960872794162966,0.687039127205837034
5,0.564700620247779086,0.435299379752220914
6,0.753176181019136382,0.246823818980863618
7,0.868344660058097467,0.131655339941902533
8,0.931980959308839626,0.068019040691160374
9,0.965425956427744317,0.0345740435722556826
10,0.982569973100129873,0.0174300268998701273
11,0.991249141804901051,0.00875085819509894913
12,0.995615675852538756,0.00438432414746124373
13,0.997805664460128955,0.00219433553987104495
14,0.998902317708597799,0.00109768229140220109
15,0.999451045884908973,0.000548954115091027409
16,0.999725503075387945,0.00027449692461205483
17,0.999862751022178336,0.000137248977821663671
18,0.99993137773867694,6.86222613230595539e-05
19,0.999965690669800482,3.43093301995177932e-05
20,0.999982846439459029,1.71535605409710648e-05
21,0.99999142383942086,8.57616057914036478e-06
22,0.999995712254573415,4.2877454265847245e-06
23,0.999997856305054069,2.14369494593095707e-06
24,0.999998928246035039,1.07175396496072672e-06
25,0.99999946417194754,5.35828052460225746e-07
26,0.99999973211149262,2.67888507380167375e-07
27,0.999999866069024041,1.33930975958684514e-07
28,0.999999933041407849,6.69585921511412635e-08
29,0.999999966524279752,3.34757202475688756e-08
30,0.999999983263991595,1.67360084047567595e-08
31,0.999999991632953517,8.36704648339396673e-09
32,0.999999995816971534,4.18302846608977971e-09
33,0.999999997908741107,2.09125889261835285e-09
34,0.999999998954502199,1.04549780112614052e-09
35,0.999999999477318908,5.22681091767382422e-10
36,0.999999999738694352,2.61305648017844117e-10
37,0.999999999869365121,1.30634878890874273e-10
38,0.999999999934691781,6.53082187938511249e-11
39,0.999999999967350625,3.26493753907697304e-11
40,0.999999999983677741,1.63222589740982804e-11
41,0.999999999991840116,8.15988390138328024e-12
42,0.999999999995920697,4.07930330140193753e-12
43,0.999999999997960675,2.03932476374596439e-12
44,0.999999999998980505,1.01949503526765906e-12
45,0.999999999999490338,5.09661648821768676e-13
46,0.999999999999745213,2.54787402113876293e-13
47,0.999999999999872628,1.27371745962945315e-13
48,0.999999999999936325,6.36746514889874327e-14
49,0.999999999999968169,3.18309831617846761e-14
50,0.999999999999984087,1.59130521260042457e-14
51,0.999999999999992045,7.95457449909164893e-15
52,0.999999999999996024,3.97631146759058751e-15
53,0.999999999999998012,1.98766784281767528e-15
54,0.999999999999999007,9.93346030431219162e-16
55,0.999999999999999503,4.96673015215609581e-16
56,0.999999999999999751,2.48824398585423268e-16
57,0.999999999999999876,1.23924308315093157e-16
58,0.999999999999999938,6.24500451351650554e-17
59,0.999999999999999969,3.12250225675825277e-17
60,0.999999999999999984,1.56125112837912638e-17
61,0.999999999999999992,7.80625564189563192e-18
62,0.999999999999999996,3.90312782094781596e-18
63,0.999999999999999998,1.95156391047390798e-18
64,0.999999999999999999,9.75781955236953991e-19
65,1,0
