GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
bb6e-47b5-f773-12bf-d157,0.000231743,18366,204
f7cc-ab5b-6b22-dab3-53ae,0.000541923,7984,1422
1730-30da-714c-ea4-4399,0.00292969,723,14
42a3-670-eef4-adc6-e123,0.0006615,5007,18
69af-7a13-2d92-241a-8f5,0.00023593,17268,122
9b41-b2f-6df4-a478-eb37,0.000514984,10632,86
79db-6b93-49d5-2cd4-c7da,0.000602136,6848,8
1dde-964-3b52-22c1-573f,0.000231743,17909,202
bd6e-6b3d-e7be-45fa-a2ad,0.000734082,3830,286
25b6-781b-c88f-4df1-94e7,0.000541923,7969,1437
1551-e932-a016-8345-8dab,0.000338702,15497,126
8a99-b9d9-80fe-7257-ffd4,0.0078125,358,26
23ac-985b-af7e-406c-ebf0,0.00308642,934,27
b7f-e547-ec79-3ed8-e1b2,0.000549316,7173,705
b4e7-c29d-54d0-5073-45d6,0.00023593,17545,46
9099-ebd3-ecbb-64bd-36b1,0.000864,2010,16
1c1f-f956-8b94-f690-3a5d,0.000874412,1745,8
9833-fedf-adde-e5ac-65f1,0.00026403,16428,39
fff0-78fb-5d9c-3dd5-f905,0.000353894,14494,837
ba04-b26b-4d1c-3b3d-2bd4,0.000428669,12315,420
d888-5568-c8f6-3624-933d,0.00023593,17225,312
c4cc-33fc-111b-98cc-ae07,0.000868056,1741,91
9045-e085-cfac-79bd-9ad6,0.000796262,2849,94
f6ac-7310-7a01-afd2-187b,0.000157286,18019,21
4d7f-945e-2f62-f2c8-a9b9,0.000976562,1388,269
8985-b879-ae73-9aa0-5145,0.00520833,364,14
dee6-bcf3-8ce5-460-b0a0,0.00023815,16090,193
ba5e-124b-536b-ec29-3e72,0.000541923,8022,1457
37a3-5d51-a417-30f3-e4c1,0.000771605,3408,218
f17e-15a9-eb3f-5a97-cb79,0.000152934,18927,18
6d04-53d-c73-111b-3630,0.00023593,17671,349
1ebd-f8a8-2dea-97ab-a38e,0.000509779,10806,240
9129-c9de-85a8-dd07-23a8,0.000305868,17124,118
7bb1-ee47-9c71-4b8c-1554,0.000353894,15280,159
6eac-5601-c2ca-701c-b0b8,0.000732422,4065,274
12db-85bc-ccab-fd51-d741,6.43004e-05,18873,1
b395-5a8d-a188-765f-caa9,0.00432,686,2
8a4a-63ca-aa68-d1cd-e813,0.000411987,12036,982
5998-e3af-b151-4fed-be39,0.00308642,547,21
de9d-3ae6-ab9f-91a6-f28a,0.000152934,18185,24
9657-1bf0-5654-40bf-edbd,0.000381039,13145,347
6292-b61e-568a-dd71-ae76,0.00064373,5359,165
2296-4924-6e35-3192-6f9a,0.00023593,16853,52
f8d2-a485-8793-4f5c-81f6,0.00064373,5853,186
3ff6-188e-7698-1d3-148d,0.125,29,9
79b5-ea24-6630-435c-2c17,0.000411987,11708,953
37a5-3c2e-d09c-bf38-8b8a,0.000976562,1188,188
5293-f542-d23a-b92-bd72,0.000549316,7221,719
ea8d-c7a9-396-9170-8c04,0.000685871,4836,356
c48c-b67-72f5-cea7-f393,0.00030899,15923,638
9ce-294d-c7e6-da6a-e885,0.000375509,13553,42
9b3a-e739-8418-713a-1f61,0.000754371,3628,88
d174-5bc8-e70b-d50a-ed38,0.000549316,7144,685
ec32-717c-b099-c9e9-6324,0.000530842,9675,497
3c51-d3b7-8c71-437-ae21,0.00030899,15420,594
a833-de06-d7dc-a0d2-c40a,0.000611735,5937,216
98aa-2d04-2aa4-251b-313c,0.0104167,308,5
635-c793-dac9-6ac0-5f5b,0.000353894,14316,854
fbb5-1ed1-cb00-313b-f84,0.0987654,51,9
29-8aa9-564a-c8c0-7fa0,0.000509779,10332,215
5ac6-e34d-cd25-25c6-1489,0.000211689,18342,41
dcaa-47b3-de6f-1933-9444,0.000685871,4919,337
7a7d-9eee-b339-47a3-c4b4,0.000578183,6818,46
c7c2-244d-c67-a631-3d80,0.000822272,2680,1
a0ab-73a2-c478-5a45-ca26,0.000353894,13936,794
4131-d79b-2426-5a9-31e0,0.000541923,8062,1407
ee4c-47c1-1efb-84da-458,0.000353894,14132,806
dd84-c8e3-9a65-4359-b74,0.000428669,12043,411
ae4e-d8be-c16-cd49-5d99,0.000541923,7904,1371
9dfa-9ee1-dac0-aa10-6c2a,0.000669041,4965,5
2b5-2a76-570e-32bf-4e2c,0.00025697,16961,4
6a5-fbf7-d711-e04b-ec8a,0.000300407,16655,31
50c9-8b3e-b302-ec58-2c63,0.000796262,2750,152
ebf9-ef0e-56d9-4308-21cd,0.000530842,9657,479
6bdb-ffae-f5e6-f746-b382,0.000220225,17463,23
5a4c-51d7-eadf-d4e-3e30,0.000603497,6401,167
86b-c6ec-8c7e-a81a-c7fb,0.000541923,7517,1407
ec1f-266-19d2-d6fe-fb4,0.000305868,16016,121
454b-d44b-6f7e-7d21-b360,0.000549316,7416,737
