HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,54,64,0.84375,1,50.9167,0.795573
2,1456,2016,0.722222,1,1277.72,0.633788
3,26055,41664,0.62536,1,21016.1,0.50442
4,347627,635376,0.54712,1,254573,0.400665
5,483952,1e+06,0.483952,0,318172,0.318172
6,431685,1e+06,0.431685,0,251049,0.251049
7,389633,1e+06,0.389633,0,198012,0.198012
8,355293,1e+06,0.355293,0,156523,0.156523
9,328804,1e+06,0.328804,0,123449,0.123449
10,307427,1e+06,0.307427,0,97424.7,0.0974247
11,289789,1e+06,0.289789,0,76450.7,0.0764507
12,276554,1e+06,0.276554,0,60264,0.060264
13,266728,1e+06,0.266728,0,47950.5,0.0479505
14,259251,1e+06,0.259251,0,37850.1,0.0378501
15,253630,1e+06,0.25363,0,29423.3,0.0294233
16,250055,1e+06,0.250055,0,23567.2,0.0235672
17,248581,1e+06,0.248581,0,18826.5,0.0188265
18,247283,1e+06,0.247283,0,15079.8,0.0150798
19,247517,1e+06,0.247517,0,12086.2,0.0120862
20,248830,1e+06,0.24883,0,9647.25,0.00964725
21,250217,1e+06,0.250217,0,7898.82,0.00789882
